c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
14823,1.0,0.0,1,1,9.9,0.0,9.9,9.9
14826,1.0,0.0,1,1,11.85,6.39,19.9,13.8
14827,1.0,0.0,1,1,9.6,0.0,9.6,9.6
14828,1.5,0.5,2,2,15.95,11.05,27.0,27.0
14830,1.24,0.42,2,1,13.16,7.72,32.0,9.9
14831,1.32,0.55,3,1,10.83,5.3,22.9,9.3
14832,1.0,0.0,1,1,6.75,1.25,8.0,8.0
14833,1.0,0.0,1,1,10.58,3.24,14.0,11.8
14834,2.54,2.41,9,2,14.5,16.19,58.5,9.8
14835,1.43,0.49,2,1,16.52,11.07,49.6,14.4
14836,1.0,0.0,1,1,8.36,4.84,24.8,6.9
14837,1.22,0.42,2,1,12.34,3.95,21.6,10.8
14838,1.0,0.0,1,1,7.37,1.08,8.9,6.6
14839,1.5,1.12,4,1,19.02,12.24,45.2,12.9
14840,1.33,0.47,2,1,5.77,0.21,6.0,5.8
14841,1.0,0.0,1,1,6.91,2.92,13.99,6.2
14842,1.29,0.7,3,1,13.24,3.84,16.9,15.1
14843,1.71,0.88,3,1,8.13,4.14,15.8,7.2
14844,1.42,0.64,3,1,11.42,5.4,21.0,12.9
14845,1.77,1.89,8,1,18.77,19.87,84.8,10.6
14846,1.33,0.6,3,1,8.81,5.38,21.7,6.0
14847,1.67,0.94,3,1,207.93,285.72,612.0,8.3
14850,2.33,1.89,5,1,21.53,19.87,49.5,9.9
14851,2.0,0.82,3,2,18.53,8.67,28.8,19.2
14852,1.0,0.0,1,1,3.5,0.0,3.5,3.5
14853,6.0,0.0,6,6,18.6,0.0,18.6,18.6
14860,1.82,1.23,6,1,4.65,3.37,16.8,3.0
14861,1.0,0.0,1,1,9.5,0.89,10.5,10.0
14862,1.0,0.0,1,1,10.7,1.8,12.5,12.5
14863,1.23,0.42,2,1,18.24,18.1,72.0,9.9
14865,1.0,0.0,1,1,23.8,0.0,23.8,23.8
14870,1.25,0.43,2,1,8.3,0.41,8.8,8.6
14871,1.25,0.43,2,1,3.12,1.08,5.0,2.5
14872,1.0,0.0,1,1,3.17,0.94,4.5,2.5
14873,1.12,0.33,2,1,4.88,4.23,15.0,4.5
14874,1.0,0.0,1,1,5.3,0.0,5.3,5.3
14900,3.69,2.59,10,3,7.83,6.52,25.0,5.0
14901,3.5,2.5,6,6,7.0,5.0,12.0,12.0
14902,3.0,0.0,3,3,6.0,0.0,6.0,6.0
14903,1.25,0.43,2,1,2.9,0.78,4.0,3.0
14905,3.0,1.58,5,4,6.0,3.08,9.0,9.0
14906,1.62,0.7,3,2,5.71,2.32,9.6,6.4
14911,1.5,0.5,2,2,11.98,4.0,15.98,15.98
14912,1.0,0.0,1,1,9.8,1.0,10.8,10.8
14914,1.0,0.0,1,1,10.9,3.0,13.9,13.9
14916,1.5,0.87,4,1,10.11,5.91,27.4,6.9
14917,1.5,0.87,3,1,8.32,4.0,14.0,8.5
14920,1.0,0.0,1,1,35.5,0.0,35.5,35.5
14924,1.0,0.0,1,1,17.0,0.0,17.0,17.0
14925,1.0,0.0,1,1,23.8,0.0,23.8,23.8
14926,1.0,0.0,1,1,13.75,6.05,19.8,19.8
14928,1.0,0.0,1,1,22.8,0.0,22.8,22.8
14930,1.0,0.0,1,1,11.6,0.0,11.6,11.6
14931,1.0,0.0,1,1,12.35,0.45,12.8,12.8
14932,1.0,0.0,1,1,10.51,3.85,15.8,9.9
14933,1.0,0.0,1,1,10.3,0.0,10.3,10.3
14940,2.0,0.0,2,2,27.6,0.0,27.6,27.6
14943,1.5,0.5,2,2,71.8,26.2,98.0,98.0
14944,1.0,0.0,1,1,17.5,0.0,17.5,17.5
14956,1.0,0.0,1,1,10.87,2.75,14.5,8.5
15000,1.41,0.62,3,1,17.75,6.98,35.4,18.5
15002,1.0,0.0,1,1,15.9,0.0,15.9,15.9
15004,2.51,2.01,10,2,11.21,7.27,29.28,9.8
15005,1.0,0.0,1,1,17.87,1.37,19.8,16.9
15010,2.0,1.0,3,3,27.25,14.45,41.7,41.7
15012,1.0,0.0,1,1,8.14,3.59,12.8,5.8
15019,1.25,0.43,2,1,14.71,8.9,33.6,16.8
15021,1.25,0.43,2,1,19.12,13.76,42.8,13.8
15022,5.0,3.0,8,8,101.5,62.5,164.0,164.0
15029,1.0,0.0,1,1,12.15,7.35,19.5,19.5
15100,1.0,0.0,1,1,29.8,0.0,29.8,29.8
15101,1.17,0.37,2,1,32.85,8.55,48.0,30.8
15102,1.0,0.0,1,1,26.35,6.55,32.9,32.9
15103,1.0,0.0,1,1,18.0,0.0,18.0,18.0
15104,1.21,0.69,4,1,22.19,17.97,89.0,19.8
15105,1.0,0.0,1,1,5.8,0.0,5.8,5.8
15110,1.99,1.8,14,1,23.33,22.45,148.5,17.0
15111,1.48,0.9,5,1,15.08,13.84,60.0,9.6
15113,1.25,0.6,3,1,12.92,10.71,33.7,16.2
15114,1.72,1.41,8,1,15.9,13.58,54.74,11.2
15115,2.16,1.57,10,2,24.99,19.65,108.2,18.0
15116,2.85,3.11,13,2,11.86,11.02,42.9,9.4
15119,2.08,1.32,7,2,92.18,318.44,1614.6,18.0
15120,1.59,0.84,4,1,19.94,15.0,72.8,15.0
15121,1.6,0.8,3,1,23.6,14.55,46.0,12.0
15123,1.0,0.0,1,1,15.0,0.0,15.0,15.0
15130,1.75,1.09,7,1,16.34,12.41,64.96,11.0
15131,5.0,2.0,7,7,39.4,22.9,62.3,62.3
15139,1.42,0.64,3,1,12.4,4.13,19.2,13.5
15140,1.25,0.43,2,1,20.66,12.31,39.6,19.8
15149,1.86,0.99,4,2,26.93,23.41,75.2,15.8
15200,2.02,1.97,11,1,31.99,26.79,144.0,27.6
15201,1.33,0.47,2,1,29.35,27.65,79.2,33.0
15202,1.55,0.92,4,1,39.29,43.72,216.0,29.2
15209,1.67,1.78,8,1,28.76,32.52,148.0,22.9
15210,1.0,0.0,1,1,8.0,0.0,8.0,8.0
15211,1.75,0.83,3,2,4.5,3.71,10.8,3.6
15219,1.4,0.49,2,1,8.76,6.09,19.2,9.6
15230,1.12,0.33,2,1,7.25,2.2,14.0,6.0
15231,2.07,1.46,7,2,10.23,6.72,31.0,8.0
15232,1.91,2.06,11,1,9.22,9.26,49.5,6.5
15235,8.67,10.14,23,2,24.17,28.89,65.0,5.0
15240,1.0,0.0,1,1,8.62,3.39,12.6,10.0
15241,1.33,0.47,2,1,12.7,3.4,16.4,13.5
15242,1.75,2.02,10,1,12.78,8.31,35.5,13.5
15243,2.0,0.0,2,2,13.0,0.0,13.0,13.0
15249,1.0,0.0,1,1,2.0,0.0,2.0,2.0
15250,1.0,0.0,1,1,21.5,0.0,21.5,21.5
15261,1.0,0.0,1,1,20.9,0.0,20.9,20.9
15263,1.25,0.43,2,1,4.62,2.76,9.0,4.8
15269,1.0,0.0,1,1,11.8,0.0,11.8,11.8
15303,1.5,0.5,2,2,17.8,6.0,23.8,23.8
15306,2.0,0.0,2,2,75.3,0.0,75.3,75.3
15320,1.25,0.43,2,1,20.8,11.97,36.7,27.9
15321,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15323,1.25,0.43,2,1,16.5,7.71,29.6,13.8
15333,1.5,0.5,2,2,25.85,7.95,33.8,33.8
15339,1.0,0.0,1,1,10.9,0.0,10.9,10.9
15340,1.0,0.0,1,1,35.85,3.05,38.9,38.9
15343,1.11,0.31,2,1,13.83,7.39,32.8,11.7
15401,1.0,0.0,1,1,11.57,0.47,11.9,11.9
15402,1.43,0.49,2,1,21.17,10.49,49.6,21.8
15404,1.2,0.4,2,1,47.16,24.68,96.4,36.8
15405,1.5,0.5,2,2,42.75,14.25,57.0,57.0
15409,1.0,0.0,1,1,36.8,0.0,36.8,36.8
15410,1.43,0.71,3,1,16.6,8.63,39.7,14.9
15411,1.2,0.4,2,1,12.86,4.11,20.8,10.9
15412,1.0,0.0,1,1,19.2,6.4,25.6,25.6
15415,1.0,0.0,1,1,15.35,4.78,22.8,16.8
15419,1.38,0.48,2,1,21.3,12.96,53.6,19.8
15420,1.0,0.0,1,1,16.8,0.0,16.8,16.8
15421,1.0,0.0,1,1,34.8,0.0,34.8,34.8
15424,1.0,0.0,1,1,8.7,0.0,8.7,8.7
15430,1.0,0.0,1,1,11.8,0.0,11.8,11.8
15432,1.0,0.0,1,1,21.8,0.0,21.8,21.8
15433,1.25,0.43,2,1,16.07,10.51,32.3,17.8
15451,1.0,0.0,1,1,14.2,0.0,14.2,14.2
15459,1.25,0.43,2,1,42.05,10.45,59.8,37.8
15469,1.0,0.0,1,1,13.62,3.19,17.0,15.8
15501,1.0,0.0,1,1,21.25,6.35,27.6,27.6
15502,1.56,1.1,5,1,14.64,18.76,85.6,8.8
15503,2.0,1.1,4,2,43.48,16.24,63.5,43.0
15603,1.0,0.0,1,1,69.8,0.0,69.8,69.8
15604,1.29,0.45,2,1,156.11,62.96,281.8,148.0
15605,1.14,0.35,2,1,76.37,52.25,276.0,69.0
20012,1.29,0.45,2,1,18.9,10.1,36.37,12.84
20101,1.0,0.0,1,1,4.97,1.98,6.95,6.95
20102,1.0,0.0,1,1,9.03,0.0,9.03,9.03
20103,1.29,0.45,2,1,7.55,3.38,13.16,6.4
20110,1.26,0.55,3,1,25.2,14.42,78.06,21.42
20111,2.0,0.0,2,2,16.8,0.0,16.8,16.8
20121,1.44,0.86,4,1,14.37,15.25,62.01,8.47
20130,1.33,0.67,3,1,22.21,27.94,88.25,10.0
20201,1.0,0.0,1,1,14.21,0.0,14.21,14.21
20202,1.2,0.4,2,1,14.5,10.27,31.08,11.05
21000,1.5,0.87,3,1,18.46,9.03,29.24,20.74
21011,1.12,0.33,2,1,24.77,13.1,55.74,19.05
21012,1.0,0.0,1,1,8.26,1.18,10.24,7.91
21020,1.0,0.0,1,1,20.54,0.0,20.54,20.54
21021,1.33,0.67,3,1,23.34,18.27,73.65,18.84
21110,1.25,0.43,2,1,32.16,17.48,62.2,24.64
21120,1.25,0.43,2,1,8.54,7.73,21.78,5.11
21200,1.5,0.96,4,1,12.44,7.52,25.0,12.32
21400,1.18,0.39,2,1,11.78,10.98,43.12,9.09
21700,1.0,0.0,1,1,18.0,7.4,25.39,25.39
21801,1.38,0.9,5,1,24.99,19.52,71.76,14.14
22000,1.04,0.19,2,1,8.7,5.46,26.76,7.6
22001,1.26,0.64,4,1,9.75,9.65,57.36,7.75
22002,1.0,0.0,1,1,22.87,9.1,35.62,18.0
