i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
10119019,1.29,0.7,3,1,22.63,24.08,79.2,9.9
10119020,1.0,0.0,1,1,12.38,4.29,19.8,9.9
10119022,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10119024,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10119026,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10119028,1.0,0.0,1,1,8.2,0.0,8.2,8.2
10119033,1.5,0.5,2,2,4.5,1.5,6.0,6.0
10119038,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10119043,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10119044,1.0,0.0,1,1,32.45,26.55,59.0,59.0
10119047,1.0,0.0,1,1,5.9,0.0,5.9,5.9
10119049,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10119051,2.0,0.0,2,2,17.6,0.0,17.6,17.6
10119052,1.0,0.0,1,1,8.8,0.0,8.8,8.8
10119054,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10119055,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10119060,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10119074,2.0,0.0,2,2,16.9,4.9,21.8,21.8
10119078,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10119079,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10119081,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10119082,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10119083,2.0,0.0,2,2,13.0,0.0,13.0,13.0
10119085,1.5,0.5,2,2,13.35,4.45,17.8,17.8
10119086,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10119089,1.0,0.0,1,1,7.6,0.0,7.6,7.6
10119090,1.0,0.0,1,1,7.6,0.0,7.6,7.6
10119100,1.0,0.0,1,1,60.0,0.0,60.0,60.0
10119101,1.0,0.0,1,1,11.98,1.04,12.5,12.5
10119102,1.12,0.33,2,1,13.09,4.66,25.0,12.5
10119126,1.0,0.0,1,1,17.0,0.0,17.0,17.0
10130002,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10130006,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10130007,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10130008,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10130009,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10131002,1.0,0.0,1,1,3.8,0.1,3.9,3.9
10131007,1.5,0.5,2,2,8.25,2.75,11.0,11.0
10132000,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10132001,1.5,0.87,3,1,3.75,2.17,7.5,2.5
10132005,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10133001,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10135000,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10135001,2.0,0.0,2,2,5.8,0.0,5.8,5.8
10135002,1.67,0.94,3,1,4.83,2.73,8.7,2.9
10135008,5.0,0.0,5,5,17.5,0.0,17.5,17.5
10136000,1.0,0.0,1,1,7.5,0.0,7.5,7.5
10136001,1.0,0.0,1,1,3.5,0.0,3.5,3.5
10136004,1.0,0.0,1,1,64.8,0.0,64.8,64.8
10136005,1.0,0.0,1,1,22.5,0.0,22.5,22.5
10136006,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10136008,2.67,1.7,5,2,10.13,6.46,19.0,7.6
10137009,1.2,0.4,2,1,4.8,1.6,8.0,4.0
