c,c_user_all,c_user_2,c_user_3,c_user_4
14655,3,2,0,1
14660,1,0,1,0
14661,14,7,5,2
14663,2,1,0,1
14700,3,0,2,1
14701,6,3,3,0
14705,4,2,1,1
14710,10,5,2,4
14714,2,1,1,0
14715,2,0,1,1
14720,7,2,3,3
14721,41,16,20,12
14722,25,14,7,7
14723,12,7,3,3
14730,1,1,0,0
14732,1,0,0,1
14733,2,2,0,0
14741,1,1,0,0
14750,28,10,14,10
14753,2,1,1,0
14754,4,3,0,1
14760,1,0,1,0
14770,7,3,2,2
14771,2,1,1,0
14774,3,1,2,0
14775,1,0,0,1
14777,3,2,1,0
14800,9,3,6,3
14801,5,1,4,0
14802,28,10,15,6
14804,3,2,1,0
14810,2,2,0,1
14811,13,6,3,4
14812,12,6,1,5
14813,2,1,2,2
14814,6,1,3,2
14815,10,3,5,2
14818,1,0,1,0
14820,8,4,2,2
14821,1,0,1,0
14822,12,5,5,3
14823,3,2,0,1
14826,6,2,0,4
14827,1,0,1,0
14828,2,0,2,0
14830,17,9,5,5
14831,22,8,7,8
14832,2,0,1,1
14833,12,2,4,6
14834,13,11,1,1
14835,14,11,2,2
14836,13,5,4,4
14837,9,7,0,3
14838,3,3,0,0
14839,6,1,3,2
14840,3,1,2,0
14841,10,3,7,0
14842,7,6,0,1
14843,7,3,3,1
14844,12,5,4,3
14845,13,6,3,6
14846,15,7,7,1
14847,3,2,0,1
14850,3,2,1,1
14851,3,1,1,1
14852,1,0,1,0
14853,1,0,0,1
14860,38,13,19,9
14861,7,2,4,1
14862,2,0,2,0
14863,13,3,2,9
14865,1,0,0,1
14870,4,3,1,0
14871,4,2,2,0
14872,3,1,2,0
14873,8,4,2,2
14874,3,1,1,1
14900,16,6,7,5
14901,2,1,1,0
14902,1,0,1,0
14903,4,1,3,0
14905,4,3,1,0
14906,8,6,1,1
14911,2,1,0,1
14912,2,2,0,0
14914,2,2,0,0
14916,12,3,7,5
14917,4,1,4,1
14920,1,1,0,0
14924,1,0,1,0
14925,1,0,1,0
14926,2,1,0,1
14928,1,0,1,0
14930,1,0,1,0
14931,2,0,2,0
14932,11,7,2,2
14933,1,1,0,0
14940,1,0,0,1
14943,2,2,0,0
14944,1,0,1,0
14956,7,0,4,3
15000,27,14,5,12
15002,1,1,0,0
15004,35,9,12,16
15005,3,2,0,1
15010,2,1,1,0
15012,8,4,0,4
15019,8,4,0,4
15021,4,1,0,3
15022,2,2,1,0
15029,2,0,0,2
15100,2,2,0,0
15101,6,2,1,3
15102,2,1,1,0
15103,2,1,1,0
15104,19,7,5,9
15105,1,0,0,1
15110,140,55,59,59
15111,25,10,9,10
15113,12,3,3,6
15114,46,13,20,22
15115,74,31,37,28
15116,13,2,5,6
15119,24,9,10,13
15120,17,8,9,4
15121,5,2,3,1
15123,1,0,0,1
15130,60,19,24,33
15131,2,1,1,1
15139,12,0,6,7
15140,8,5,0,3
15149,7,2,3,4
15200,52,21,24,21
15201,6,2,3,1
15202,64,24,26,21
15209,15,5,6,6
15210,1,1,0,0
15211,4,2,0,2
15219,5,2,1,2
15230,24,8,6,11
15231,28,8,11,14
15232,23,2,13,9
15235,3,1,1,3
15240,5,1,2,2
15241,3,2,0,1
15242,20,10,9,2
15243,1,1,0,0
15249,1,1,0,0
15250,2,0,1,1
15261,2,0,1,1
15263,4,1,1,2
15269,1,0,1,0
15303,2,0,1,1
15306,1,1,1,0
15320,4,1,2,2
15321,1,1,0,0
15323,4,1,2,1
15333,2,1,0,1
15339,2,0,1,1
15340,2,2,0,0
15343,9,6,2,1
15401,3,1,2,0
15402,14,6,4,5
15404,5,1,2,3
15405,2,1,1,1
15409,1,0,1,0
15410,23,21,2,0
15411,5,5,0,0
15412,2,2,0,0
15415,6,6,0,0
15419,8,6,0,2
15420,1,1,0,0
15421,3,2,0,1
15424,1,0,1,0
15430,1,0,1,0
15432,3,1,1,1
15433,4,0,3,1
15451,1,0,1,0
15459,4,1,1,2
15469,5,2,1,2
15501,2,2,0,0
15502,27,8,15,9
15503,5,2,2,3
15603,1,0,1,0
15604,7,7,0,0
15605,21,9,6,6
20012,7,2,2,3
20101,2,1,0,1
20102,1,0,0,1
20103,7,3,3,1
20110,19,7,4,9
20111,1,0,0,1
20121,16,7,4,7
20130,9,4,2,4
20201,1,0,0,1
20202,5,2,2,2
21000,4,1,1,3
21011,8,3,1,5
21012,4,0,3,1
21020,1,1,0,0
21021,18,3,4,12
21110,4,1,2,1
21120,4,0,0,4
21200,12,7,5,2
21400,11,5,6,1
21700,2,2,0,0
21801,21,9,8,6
22000,26,1,13,13
22001,54,12,23,25
22002,3,0,1,2
22003,1,0,0,1
22004,2,0,0,2
22007,42,16,11,17
22008,90,35,45,33
22010,24,10,9,7
22012,18,15,3,0
22013,50,29,16,9
22020,27,11,6,13
22021,37,13,9,16
22030,4,3,0,1
22032,9,9,0,0
22034,43,13,26,8
22035,1,1,0,0
22036,84,40,29,32
22040,14,8,5,2
22041,1,0,0,1
22071,11,0,9,2
22100,20,2,6,13
22101,43,17,21,13
22102,103,44,34,47
22103,81,39,30,26
22110,12,4,9,0
22111,77,37,29,27
22120,60,36,16,13
22130,67,26,27,26
22131,5,0,2,4
22132,13,4,4,5
22160,2,1,1,1
22170,25,11,11,6
22171,15,7,4,4
22172,60,32,15,24
22180,8,2,4,2
22190,30,19,10,8
22500,32,9,17,9
22501,2,0,0,2
22503,3,2,1,0
22511,5,1,3,2
22520,2,0,2,0
22600,13,6,2,5
22601,30,12,7,13
22602,3,1,2,0
22603,5,2,1,2
22604,2,1,0,1
22610,5,1,1,3
22620,1,0,1,0
22621,2,1,0,1
22630,11,3,5,3
22631,12,5,5,2
22671,9,3,2,6
22701,42,12,14,20
22702,12,5,4,3
22710,9,9,0,0
22711,6,5,1,0
22712,5,4,1,1
22713,14,12,1,1
22714,6,5,1,0
22715,11,10,2,0
22716,13,9,5,0
22800,6,1,1,4
22801,2,0,1,1
22802,7,1,3,3
22821,1,0,0,1
22830,12,3,8,2
22840,2,1,1,0
22850,1,0,0,1
22851,1,0,0,1
22870,5,0,3,2
22900,3,1,1,1
22901,1,0,0,1
22902,1,0,1,0
23110,159,62,79,78
23112,14,6,5,3
23113,21,5,12,7
23120,29,12,9,10
23121,26,13,8,10
23130,3,0,3,0
23131,31,10,9,14
23132,53,23,22,20
23133,2,2,0,0
23134,37,18,14,8
23135,4,2,1,1
23141,1,0,1,0
23142,3,1,0,2
23150,1,0,1,0
23171,2,2,0,0
24000,29,18,7,10
24010,71,30,26,28
24011,18,5,7,8
24012,15,7,6,4
24030,4,2,1,1
24032,1,1,0,0
24100,7,3,3,1
24101,34,13,11,19
24102,6,3,1,2
24112,3,1,1,1
24220,4,0,1,3
24400,1,0,0,1
24401,10,4,3,3
24403,4,1,0,3
25005,5,2,3,0
25012,9,8,1,3
25100,9,4,2,3
25101,39,14,11,26
25102,1,1,0,0
25110,5,2,3,0
25111,43,14,21,14
25112,2,1,0,2
25120,49,21,15,24
25121,20,9,8,5
25130,8,6,3,0
25150,2,2,0,0
25405,1,0,0,1
27000,99,34,47,45
27002,64,22,23,28
27030,2,2,0,0
27100,27,11,9,11
27200,59,21,24,28
27201,2,0,2,0
27240,11,5,3,4
27300,88,48,37,34
27400,64,28,25,23
27410,122,53,53,49
27421,1,1,0,0
30000,5,2,3,0
30001,1,0,1,0
30006,1,1,0,0
30010,6,3,2,1
30011,4,1,2,1
30012,1,0,1,0
30020,2,0,1,1
30040,1,1,0,0
30042,1,1,0,0
30052,1,1,0,0
30103,1,0,1,0
30120,1,0,1,0
30121,1,1,0,0
30124,2,1,0,1
30125,1,1,0,0
30126,1,1,0,0
30133,1,0,1,0
30151,1,1,0,0
30161,11,11,0,0
30164,1,0,0,1
30165,2,1,1,0
30166,3,2,1,0
30167,1,0,1,0
30169,2,0,1,1
30170,2,1,1,0
30172,1,1,0,0
30175,2,2,0,0
30202,2,0,0,2
30215,1,0,1,0
30231,3,1,0,2
30233,1,1,0,0
30250,1,1,0,0
30300,1,0,1,0
30304,5,4,0,1
30308,1,0,0,1
30310,1,0,1,0
30314,1,0,1,0
30320,5,3,1,1
30321,11,3,4,4
30322,1,0,0,1
30323,7,3,2,2
30330,1,0,1,0
30331,1,1,0,0
30332,1,1,0,0
30333,1,0,1,0
30334,2,0,1,1
30335,2,2,0,0
30336,1,0,1,0
30337,2,2,0,0
30338,1,0,0,1
30341,1,0,1,0
30348,6,5,1,0
30350,1,0,1,0
30351,4,1,0,3
30352,2,1,1,0
