b,b_user_all,b_user_2,b_user_3,b_user_4
14121.0,6,3,2,1
14123.0,12,3,4,6
14126.0,10,4,5,1
14127.0,2,1,1,0
14129.0,1,1,0,0
14133.0,2,2,0,0
14134.0,1,1,0,0
14145.0,9,3,5,1
14146.0,4,1,1,2
14148.0,2,0,0,2
14149.0,3,2,1,1
14151.0,8,1,5,2
14152.0,6,3,1,2
14153.0,1,1,0,0
14156.0,1,0,0,1
14157.0,1,0,0,1
14159.0,2,2,0,0
14160.0,19,11,4,4
14162.0,2,1,0,1
14167.0,5,1,1,4
14168.0,7,3,1,4
14173.0,21,8,6,8
14177.0,43,18,17,14
14179.0,3,2,1,1
14189.0,7,1,5,2
14191.0,7,6,1,2
14196.0,25,10,4,13
14197.0,1,1,0,0
14200.0,7,2,5,2
14203.0,1,0,1,0
14208.0,16,7,4,7
14210.0,4,2,1,1
14212.0,6,3,1,2
14213.0,10,1,3,7
14224.0,15,8,5,3
14225.0,10,2,4,6
14229.0,4,3,0,1
14230.0,7,5,0,2
14231.0,13,1,6,6
14233.0,3,2,1,1
14236.0,6,3,3,1
14238.0,3,0,1,2
14241.0,4,0,2,3
14245.0,2,1,1,1
14246.0,1,0,0,1
14247.0,2,0,2,0
14249.0,2,0,2,0
14251.0,2,1,1,0
14258.0,9,1,4,4
14261.0,3,0,0,3
14265.0,21,6,5,13
14267.0,9,6,0,3
14268.0,6,3,0,3
14279.0,8,2,4,2
14281.0,18,7,4,8
14284.0,1,0,1,0
14291.0,5,3,2,0
14293.0,6,3,2,1
14301.0,9,4,5,0
14306.0,1,0,1,0
14307.0,2,0,2,0
14313.0,26,17,8,4
14314.0,2,1,0,1
14315.0,1,0,1,0
14318.0,2,1,1,0
14319.0,12,3,6,4
14321.0,3,1,1,1
14322.0,32,12,8,16
14328.0,1,0,1,0
14330.0,24,13,5,7
14331.0,4,0,2,2
14333.0,13,6,6,1
14338.0,11,4,4,5
14341.0,5,1,4,0
14344.0,1,0,0,1
14345.0,7,1,4,2
14346.0,3,1,2,0
14350.0,10,1,4,6
14353.0,1,0,1,0
14354.0,13,5,5,4
14355.0,7,0,6,2
14356.0,4,1,3,1
14357.0,7,3,4,0
14362.0,20,8,5,9
14366.0,43,14,19,12
14372.0,17,11,2,5
14376.0,1,1,0,0
14377.0,1,0,1,0
14386.0,8,2,4,4
14393.0,2,1,0,1
14395.0,3,0,3,0
14396.0,5,1,1,3
14404.0,1,1,0,0
14408.0,2,1,0,1
14418.0,1,0,1,0
14420.0,1,1,0,0
14421.0,3,1,1,1
14423.0,1,0,1,0
14425.0,2,1,0,1
14431.0,3,1,1,1
14435.0,7,1,1,5
14436.0,3,2,1,0
14440.0,5,0,2,4
14442.0,35,12,14,12
14443.0,6,2,4,0
14444.0,9,4,2,3
14445.0,9,5,3,3
14446.0,2,0,1,1
14447.0,1,0,1,0
14449.0,8,2,2,4
14454.0,1,0,1,0
14455.0,8,3,2,3
14456.0,1,0,0,1
14458.0,2,0,1,1
14460.0,7,2,3,3
14461.0,5,4,2,1
14475.0,34,13,11,10
14504.0,1,1,0,0
14507.0,2,1,1,2
14509.0,7,1,3,4
14510.0,1,0,0,1
14519.0,5,3,1,2
14524.0,1,1,0,0
14531.0,1,1,0,0
14539.0,4,0,2,3
14544.0,18,13,4,1
14545.0,10,2,3,5
14546.0,6,0,4,2
14556.0,3,2,0,1
14564.0,3,2,1,1
14570.0,4,1,2,1
14571.0,1,1,0,0
14573.0,8,5,3,0
14579.0,2,1,1,0
14580.0,3,2,1,0
14581.0,2,1,1,0
14585.0,1,0,1,1
14591.0,2,0,1,1
14592.0,1,1,0,0
14601.0,2,2,0,0
14612.0,1,0,0,1
14615.0,4,2,1,1
14618.0,1,1,0,0
14622.0,44,21,17,19
14623.0,1,0,1,0
14626.0,2,1,2,0
14627.0,3,2,1,0
14630.0,4,1,2,1
14648.0,1,1,0,0
14650.0,5,2,2,2
14651.0,16,4,2,11
14652.0,1,1,0,0
14661.0,2,1,0,1
14665.0,2,1,1,0
14667.0,3,2,0,1
14674.0,1,1,0,0
14677.0,1,0,0,1
14678.0,16,4,10,5
14682.0,3,2,0,1
14686.0,3,1,1,1
14688.0,1,1,0,0
14689.0,1,0,1,0
14691.0,2,0,0,2
14693.0,3,0,3,0
14694.0,3,2,0,1
14703.0,4,0,2,2
14705.0,12,7,2,3
14712.0,3,1,1,2
14714.0,5,0,1,4
14717.0,1,1,0,0
14719.0,2,2,0,0
14721.0,1,0,1,0
14722.0,2,1,0,1
14723.0,3,1,0,2
14724.0,1,0,0,1
14726.0,3,1,1,1
14727.0,4,1,2,2
14729.0,2,1,1,1
14730.0,1,0,1,0
14731.0,1,0,1,0
14732.0,4,4,0,0
14736.0,1,1,0,0
14737.0,7,2,4,2
14738.0,1,1,0,0
14739.0,1,0,1,0
14740.0,10,1,1,8
14742.0,3,2,0,2
14743.0,1,1,0,0
14746.0,1,1,0,0
14747.0,1,1,0,0
14752.0,10,5,4,1
14753.0,1,0,0,1
14757.0,1,1,0,0
14758.0,2,0,1,1
14759.0,7,3,2,3
14764.0,1,0,1,0
14767.0,1,0,0,1
14768.0,2,1,0,1
14770.0,2,0,1,1
14777.0,1,0,0,1
14779.0,3,0,1,2
14780.0,4,3,1,0
14781.0,2,1,1,0
14783.0,3,1,1,1
14784.0,3,2,2,0
14785.0,4,3,1,1
14786.0,2,2,0,0
14788.0,2,0,2,0
14789.0,9,5,4,0
14790.0,1,1,0,0
14792.0,1,1,0,0
14793.0,6,1,3,3
14794.0,23,8,9,10
14795.0,2,0,1,1
14797.0,3,3,0,0
14798.0,8,4,2,2
14799.0,1,0,0,1
14803.0,5,1,1,3
14804.0,4,0,0,4
14805.0,11,7,4,2
14807.0,7,2,2,3
14809.0,4,1,2,1
14810.0,34,12,18,5
14811.0,1,0,1,0
14818.0,1,0,0,1
14820.0,1,0,0,1
14821.0,1,1,0,0
14826.0,1,1,0,0
15001.0,7,2,4,3
15002.0,14,7,3,6
15007.0,1,0,0,1
15009.0,65,18,28,29
15011.0,26,12,6,10
15012.0,117,48,51,47
15015.0,1,1,0,0
15026.0,10,3,5,3
15028.0,3,3,1,0
15031.0,2,1,1,0
15032.0,1,1,0,0
15033.0,1,0,1,0
15036.0,5,4,1,0
15037.0,1,0,0,1
15038.0,18,5,5,9
15039.0,54,14,25,24
15042.0,6,6,0,0
15045.0,18,8,4,9
15048.0,3,1,0,2
15049.0,3,0,2,1
15052.0,99,38,39,43
15057.0,10,3,6,4
15060.0,29,22,6,2
15061.0,1,0,0,1
15063.0,4,1,2,1
15065.0,1,1,0,0
15066.0,32,12,14,7
15067.0,24,15,8,3
15073.0,14,6,4,6
15074.0,14,9,3,3
15077.0,4,3,0,1
15078.0,7,3,2,2
15081.0,1,1,0,0
15083.0,18,6,5,7
15092.0,28,9,10,16
15094.0,140,55,67,58
15100.0,1,0,0,1
15123.0,20,8,5,10
15542.0,2,1,1,0
15545.0,7,2,2,3
15546.0,1,0,1,0
15548.0,3,0,1,2
15552.0,4,1,1,2
15554.0,1,0,0,1
15557.0,2,0,1,1
15564.0,3,0,0,3
15570.0,3,0,2,1
15572.0,2,2,0,0
15576.0,1,0,0,1
15577.0,9,3,3,3
15583.0,1,1,0,0
15584.0,1,1,0,0
15585.0,1,0,0,1
15588.0,1,0,1,0
15589.0,1,1,1,0
15590.0,17,5,6,7
15600.0,1,0,0,1
15616.0,3,1,1,1
15629.0,1,1,0,0
15631.0,56,20,24,24
15632.0,8,7,3,0
15633.0,1,1,0,0
15635.0,3,1,0,2
15641.0,2,1,1,0
15647.0,3,1,1,1
15648.0,2,2,0,0
15649.0,2,0,1,1
15653.0,3,1,0,2
15655.0,3,0,2,1
15665.0,1,0,0,1
15667.0,3,0,0,3
15669.0,1,0,0,1
30004.0,2,0,0,2
30007.0,1,0,1,0
30017.0,5,3,1,2
30027.0,1,1,0,0
30033.0,1,0,0,1
30040.0,1,1,0,0
30046.0,3,1,1,1
30049.0,1,0,1,0
30053.0,1,0,1,0
30060.0,4,1,1,2
30063.0,1,1,0,0
30077.0,1,0,1,0
30080.0,2,0,0,2
30083.0,1,0,0,1
30105.0,2,1,0,1
30120.0,2,1,2,0
30123.0,3,0,3,0
30131.0,2,1,1,0
30139.0,1,1,0,0
30152.0,1,0,0,1
30170.0,37,17,9,12
30172.0,3,1,1,1
30180.0,2,1,1,0
30186.0,2,0,1,1
30192.0,7,2,4,1
30198.0,1,1,0,0
30204.0,2,2,0,0
30216.0,16,9,2,6
30228.0,4,2,0,2
30241.0,1,0,1,0
30248.0,244,127,133,129
30252.0,2,0,2,0
30253.0,2,1,1,0
30256.0,5,1,4,0
30258.0,1,0,1,0
30262.0,4,2,2,0
30269.0,8,1,6,1
30288.0,2,1,1,0
30307.0,1,0,1,0
30310.0,1,1,0,0
30337.0,1,1,0,0
30340.0,1,1,0,0
30355.0,5,1,4,0
30562.0,1,1,0,0
30564.0,1,0,1,0
30721.0,2,0,2,0
30723.0,1,1,0,0
30727.0,5,0,4,1
30734.0,1,1,0,0
30742.0,4,4,0,0
30750.0,2,0,1,1
30762.0,2,2,0,0
30764.0,1,0,1,0
30778.0,1,1,0,0
30789.0,2,2,0,0
30790.0,2,1,1,0
30793.0,2,0,1,1
30798.0,8,4,1,3
30804.0,1,0,1,0
30812.0,3,3,0,0
30814.0,1,0,0,1
30815.0,1,1,0,0
30819.0,4,2,2,0
30822.0,1,0,1,0
30825.0,1,1,0,0
30829.0,2,1,0,1
30831.0,1,1,0,0
30832.0,3,2,1,0
30833.0,13,10,3,0
30835.0,1,1,0,0
30838.0,1,0,1,0
31008.0,1,0,0,1
31017.0,8,1,2,6
