Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.2158051,31.28950141,10,-93,9,-95,9.0,-95.0,8.0,-97.0,14.0,-85.0,13.0,-87.0,11.0,-91.0,1509264699234.0,460011670515939.06,1178,31.277704999999997,121.20565500000001,31.287846000000002,121.191709,31.289402000000003,121.208105,31.288649,121.211928,31.288361,121.211591,31.289351,121.219323,31.289647,121.208284
121.2158051,31.28950141,15,-83,14,-85,13.0,-87.0,10.0,-93.0,10.0,-93.0,0.0,0.0,0.0,0.0,1509264733250.0,460011670515939.06,1178,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2093179,31.284380600000006,15,-83,15,-83,13.0,-87.0,10.0,-93.0,11.0,-91.0,0.0,0.0,0.0,0.0,1509264735394.0,460011670515939.06,351,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.20931780000001,31.28433619,15,-83,15,-83,13.0,-87.0,12.0,-89.0,11.0,-91.0,0.0,0.0,0.0,0.0,1509264737527.0,460011670515939.06,344,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.20928190000001,31.28430747,14,-85,16,-81,15.0,-83.0,12.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264739678.0,460011670515939.06,339,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2092148,31.28430609,13,-87,16,-81,15.0,-83.0,15.0,-83.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264741835.0,460011670515939.06,339,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.20916799999999,31.28424647,12,-89,16,-81,18.0,-77.0,15.0,-83.0,14.0,-85.0,0.0,0.0,0.0,0.0,1509264743971.0,460011670515939.06,329,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2091038,31.28417274,11,-91,17,-79,18.0,-77.0,18.0,-77.0,14.0,-85.0,0.0,0.0,0.0,0.0,1509264745870.0,460011670515939.06,317,31.276588,121.211975,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2090618,31.28409733,10,-93,16,-81,21.0,-71.0,18.0,-77.0,15.0,-83.0,0.0,0.0,0.0,0.0,1509264747999.0,460011670515939.06,305,31.289647,121.208284,31.289351,121.219323,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.20898170000001,31.28391689,22,-69,16,-81,15.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264750154.0,460011670515939.06,276,31.289647,121.208284,31.289351,121.219323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
