b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
10715.0,1.0,1.0,0.0,0.0,21.3,21.3,0.0,0.0
10717.0,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10719.0,36.0,28.0,4.0,4.0,379.29999999999995,289.70000000000005,44.8,44.8
10721.0,1.0,0.0,0.0,1.0,168.0,0.0,0.0,168.0
10722.0,7.0,6.0,0.0,1.0,590.0,502.0,0.0,88.0
10724.0,26.0,13.0,5.0,8.0,217.14000000000004,102.94999999999997,40.19,74.0
10726.0,2.0,1.0,1.0,0.0,13.6,6.8,6.8,0.0
10727.0,3.0,0.0,2.0,1.0,14.700000000000001,0.0,9.8,4.9
10729.0,9.0,0.0,9.0,0.0,58.5,0.0,58.5,0.0
10730.0,5.0,0.0,0.0,5.0,39.5,0.0,0.0,39.5
10732.0,1.0,0.0,1.0,0.0,22.5,0.0,22.5,0.0
10741.0,3.0,3.0,0.0,0.0,17.4,17.4,0.0,0.0
11004.0,2.0,0.0,0.0,2.0,13.1,0.0,0.0,13.1
11006.0,1.0,1.0,0.0,0.0,8.8,8.8,0.0,0.0
11014.0,1.0,0.0,0.0,1.0,3.5,0.0,0.0,3.5
11026.0,14.0,2.0,4.0,8.0,311.2,57.8,108.80000000000001,144.6
11032.0,4.0,0.0,0.0,4.0,18.4,0.0,0.0,18.4
11036.0,18.0,2.0,10.0,6.0,405.3,44.8,194.5,166.0
11039.0,2.0,1.0,1.0,0.0,47.6,23.8,23.8,0.0
11046.0,1.0,1.0,0.0,0.0,7.4,7.4,0.0,0.0
11048.0,9.0,3.0,4.0,2.0,88.2,21.9,46.900000000000006,19.4
11049.0,1.0,0.0,1.0,0.0,5.9,0.0,5.9,0.0
11052.0,2.0,0.0,1.0,1.0,99.4,0.0,49.7,49.7
11057.0,8.0,4.0,2.0,2.0,65.6,30.799999999999997,17.4,17.4
11069.0,1.0,1.0,0.0,0.0,24.5,24.5,0.0,0.0
11075.0,2.0,0.0,1.0,1.0,45.0,0.0,18.0,27.0
11079.0,8.0,2.0,5.0,1.0,93.10000000000001,18.8,63.4,10.9
11081.0,2.0,1.0,0.0,1.0,23.4,11.7,0.0,11.7
11085.0,1.0,1.0,0.0,0.0,23.6,23.6,0.0,0.0
