i,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4
10116026,3.0,1.0,0.0,2.0,32.59,8.99,0.0,23.6
10116027,2.0,1.0,1.0,0.0,20.79,11.8,8.99,0.0
10116028,1.0,0.0,0.0,1.0,11.8,0.0,0.0,11.8
10116030,1.0,1.0,0.0,0.0,2.6,2.6,0.0,0.0
10116031,4.0,3.0,0.0,1.0,10.4,7.800000000000001,0.0,2.6
10116032,4.0,0.0,2.0,2.0,10.4,0.0,5.2,5.2
10116034,5.0,4.0,0.0,1.0,39.0,31.2,0.0,7.8
10116039,6.0,0.0,6.0,0.0,39.0,0.0,39.0,0.0
10117000,4.0,0.0,0.0,4.0,10.0,0.0,0.0,10.0
10119010,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0
10119012,4.0,1.0,2.0,1.0,27.2,6.8,13.6,6.8
10119013,4.0,1.0,2.0,1.0,27.2,6.8,13.6,6.8
10119019,16.0,14.0,0.0,2.0,158.40000000000003,138.60000000000002,0.0,19.8
10119020,5.0,5.0,0.0,0.0,49.5,49.5,0.0,0.0
10119022,1.0,1.0,0.0,0.0,5.5,5.5,0.0,0.0
10119024,2.0,1.0,0.0,1.0,11.0,5.5,0.0,5.5
10119026,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5
10119028,2.0,1.0,1.0,0.0,16.4,8.2,8.2,0.0
10119033,3.0,0.0,1.0,2.0,9.0,0.0,3.0,6.0
10119038,1.0,0.0,0.0,1.0,2.5,0.0,0.0,2.5
10119043,1.0,1.0,0.0,0.0,2.7,2.7,0.0,0.0
10119044,11.0,10.0,1.0,0.0,64.9,59.0,5.9,0.0
10119047,1.0,1.0,0.0,0.0,5.9,5.9,0.0,0.0
10119049,1.0,1.0,0.0,0.0,2.9,2.9,0.0,0.0
10119051,2.0,0.0,0.0,2.0,17.6,0.0,0.0,17.6
10119052,1.0,1.0,0.0,0.0,8.8,8.8,0.0,0.0
10119054,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10119055,1.0,0.0,0.0,1.0,6.8,0.0,0.0,6.8
10119060,1.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0
10119074,4.0,2.0,0.0,2.0,33.8,12.0,0.0,21.8
10119078,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
10119079,2.0,1.0,0.0,1.0,23.8,11.9,0.0,11.9
10119081,4.0,3.0,1.0,0.0,15.6,11.7,3.9,0.0
10119082,2.0,1.0,1.0,0.0,7.8,3.9,3.9,0.0
10119083,2.0,2.0,0.0,0.0,13.0,13.0,0.0,0.0
10119085,3.0,1.0,0.0,2.0,26.700000000000003,8.9,0.0,17.8
10119086,2.0,0.0,0.0,2.0,8.0,0.0,0.0,8.0
10119089,1.0,1.0,0.0,0.0,7.6,7.6,0.0,0.0
10119090,2.0,0.0,0.0,2.0,15.2,0.0,0.0,15.2
10119100,24.0,24.0,0.0,0.0,60.0,60.0,0.0,0.0
10119101,5.0,3.0,1.0,1.0,59.9,37.5,9.9,12.5
10119102,9.0,5.0,3.0,1.0,104.7,57.3,34.9,12.5
10119126,1.0,0.0,0.0,1.0,17.0,0.0,0.0,17.0
10130002,4.0,1.0,2.0,1.0,15.6,3.9,7.8,3.9
10130006,1.0,1.0,0.0,0.0,5.5,5.5,0.0,0.0
10130007,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0
10130008,1.0,1.0,0.0,0.0,2.5,2.5,0.0,0.0
10130009,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5
10131002,2.0,0.0,0.0,2.0,7.6,0.0,0.0,7.6
10131007,3.0,1.0,2.0,0.0,16.5,5.5,11.0,0.0
10132000,1.0,0.0,0.0,1.0,3.9,0.0,0.0,3.9
10132001,6.0,1.0,3.0,2.0,15.0,2.5,7.5,5.0
10132005,1.0,0.0,1.0,0.0,5.5,0.0,5.5,0.0
10133001,1.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0
10135000,2.0,2.0,0.0,0.0,5.8,5.8,0.0,0.0
10135001,2.0,2.0,0.0,0.0,5.8,5.8,0.0,0.0
10135002,5.0,1.0,3.0,1.0,14.5,2.9,8.7,2.9
10135008,5.0,5.0,0.0,0.0,17.5,17.5,0.0,0.0
