i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
10152022,1,1,0.67,0.47
10152024,1,0,0.33,0.47
10152032,1,0,0.33,0.47
10200004,1,0,0.33,0.47
10200005,1,0,0.33,0.47
10200035,1,0,0.33,0.47
10200038,1,0,0.33,0.47
10200045,1,0,0.33,0.47
10200046,1,0,0.33,0.47
10201013,1,0,0.33,0.47
10201015,1,0,0.33,0.47
10201017,3,0,1.0,1.41
10201020,1,0,0.33,0.47
10201029,1,0,0.33,0.47
10203000,1,0,0.33,0.47
10203001,1,0,0.33,0.47
10300005,1,0,0.33,0.47
10300007,1,0,0.33,0.47
10300018,1,0,0.33,0.47
10300019,1,0,0.33,0.47
10300021,1,0,0.33,0.47
10300030,1,0,0.33,0.47
10300034,1,0,0.33,0.47
10300035,1,0,0.33,0.47
10300080,1,0,0.33,0.47
10300081,1,0,0.33,0.47
10300084,1,0,0.33,0.47
10310021,3,0,1.0,1.41
10310042,5,4,3.0,2.16
10310043,1,0,0.33,0.47
10310044,2,0,0.67,0.94
10310045,1,0,0.33,0.47
10310046,2,0,0.67,0.94
10310047,2,0,0.67,0.94
10310048,1,1,0.67,0.47
10310050,1,1,0.67,0.47
10310051,4,0,1.33,1.89
10310052,1,1,0.67,0.47
10312014,2,0,0.67,0.94
10312015,2,0,0.67,0.94
10312016,1,0,0.33,0.47
10400067,1,0,0.33,0.47
10401049,1,1,0.67,0.47
10401054,1,0,0.33,0.47
10401059,1,0,0.33,0.47
10401090,1,0,0.33,0.47
10401097,2,0,0.67,0.94
10420014,1,0,0.33,0.47
10422006,1,0,0.33,0.47
10422008,1,0,0.33,0.47
10422012,1,0,0.33,0.47
10435003,1,0,0.33,0.47
10435025,1,0,0.33,0.47
10435026,1,0,0.33,0.47
10435033,1,0,0.33,0.47
10435036,1,0,0.33,0.47
10435042,2,1,1.0,0.82
10435043,1,0,0.33,0.47
10439017,1,0,0.33,0.47
10441014,1,0,0.33,0.47
10450048,1,0,0.33,0.47
10502000,1,0,0.33,0.47
10701010,1,0,0.33,0.47
11000007,1,0,0.33,0.47
11004004,1,0,0.33,0.47
11006007,1,0,0.33,0.47
11006011,1,0,0.33,0.47
11011015,1,0,0.33,0.47
11011028,1,0,0.33,0.47
11011029,1,0,0.33,0.47
11011033,1,0,0.33,0.47
11020005,1,0,0.33,0.47
11020013,1,0,0.33,0.47
11020017,1,0,0.33,0.47
11022021,1,0,0.33,0.47
11022023,1,0,0.33,0.47
11022054,1,0,0.33,0.47
11031002,1,0,0.33,0.47
11040002,1,0,0.33,0.47
11041006,1,0,0.33,0.47
11041007,1,0,0.33,0.47
11041009,1,0,0.33,0.47
11041019,1,0,0.33,0.47
11041023,1,0,0.33,0.47
11041024,1,0,0.33,0.47
11042005,1,0,0.33,0.47
11042009,2,0,0.67,0.94
11043005,1,0,0.33,0.47
11043008,1,0,0.33,0.47
11044004,1,0,0.33,0.47
11044009,2,0,0.67,0.94
11044022,1,0,0.33,0.47
11044023,2,0,0.67,0.94
11044024,1,0,0.33,0.47
11046012,1,0,0.33,0.47
11046014,1,0,0.33,0.47
11051003,1,0,0.33,0.47
11052009,1,0,0.33,0.47
11052015,1,0,0.33,0.47
11054017,1,0,0.33,0.47
11054029,1,0,0.33,0.47
11054032,1,0,0.33,0.47
11054069,1,0,0.33,0.47
11056011,1,0,0.33,0.47
11056012,1,0,0.33,0.47
11056014,1,0,0.33,0.47
11056017,1,0,0.33,0.47
11056020,1,0,0.33,0.47
11056053,1,0,0.33,0.47
11056085,2,0,0.67,0.94
11057021,1,0,0.33,0.47
11057029,1,0,0.33,0.47
11057049,1,0,0.33,0.47
11057092,1,0,0.33,0.47
11057122,1,0,0.33,0.47
11057177,4,0,1.33,1.89
11100030,1,0,0.33,0.47
11100035,1,0,0.33,0.47
11100042,1,0,0.33,0.47
11101026,1,0,0.33,0.47
11102011,1,0,0.33,0.47
11102032,1,0,0.33,0.47
11102058,1,0,0.33,0.47
11102105,1,0,0.33,0.47
11102113,1,0,0.33,0.47
11103002,1,0,0.33,0.47
11103008,1,0,0.33,0.47
11103010,1,0,0.33,0.47
11104024,1,0,0.33,0.47
11105006,1,0,0.33,0.47
11110004,4,0,1.33,1.89
11110050,1,0,0.33,0.47
11110052,2,1,1.0,0.82
11110104,1,0,0.33,0.47
11110121,1,0,0.33,0.47
11110153,1,0,0.33,0.47
11110157,1,0,0.33,0.47
11111001,1,0,0.33,0.47
11115145,1,0,0.33,0.47
11116014,1,0,0.33,0.47
11121047,1,0,0.33,0.47
11140004,1,0,0.33,0.47
11141002,4,0,1.33,1.89
11200018,1,0,0.33,0.47
11200025,1,0,0.33,0.47
11200030,1,0,0.33,0.47
11200044,1,0,0.33,0.47
11200046,1,0,0.33,0.47
11200066,1,0,0.33,0.47
11200081,1,0,0.33,0.47
11200131,1,0,0.33,0.47
11200134,1,0,0.33,0.47
11201048,1,0,0.33,0.47
11205013,1,0,0.33,0.47
11212018,1,0,0.33,0.47
11212019,1,0,0.33,0.47
11212023,1,0,0.33,0.47
11220013,1,0,0.33,0.47
11220014,1,0,0.33,0.47
11220019,1,0,0.33,0.47
11220022,1,0,0.33,0.47
11220026,1,0,0.33,0.47
11220028,1,0,0.33,0.47
11220045,2,0,0.67,0.94
11220046,1,0,0.33,0.47
11220056,1,0,0.33,0.47
11220059,1,0,0.33,0.47
11220066,1,0,0.33,0.47
11221018,1,0,0.33,0.47
11221037,4,0,1.33,1.89
11221054,1,0,0.33,0.47
11222021,1,0,0.33,0.47
11222043,1,0,0.33,0.47
11222044,2,1,1.0,0.82
11230042,1,0,0.33,0.47
11230118,1,0,0.33,0.47
11230120,1,0,0.33,0.47
11230132,1,0,0.33,0.47
11230133,1,0,0.33,0.47
11230134,1,0,0.33,0.47
11230136,1,0,0.33,0.47
11230155,1,0,0.33,0.47
11230158,1,0,0.33,0.47
11230290,1,0,0.33,0.47
11230291,1,0,0.33,0.47
11231001,1,0,0.33,0.47
11231125,1,0,0.33,0.47
11231171,1,0,0.33,0.47
11231198,1,0,0.33,0.47
11233037,1,0,0.33,0.47
11233038,1,0,0.33,0.47
11233081,1,0,0.33,0.47
11235002,1,0,0.33,0.47
11241005,1,0,0.33,0.47
11241024,1,0,0.33,0.47
11241063,1,0,0.33,0.47
11241065,1,0,0.33,0.47
11241085,1,0,0.33,0.47
11250000,1,0,0.33,0.47
11250001,1,0,0.33,0.47
11250005,1,0,0.33,0.47
11250007,1,0,0.33,0.47
11250017,1,0,0.33,0.47
11250018,3,0,1.0,1.41
11250019,1,0,0.33,0.47
11250025,1,0,0.33,0.47
11250026,1,0,0.33,0.47
11250027,1,0,0.33,0.47
11300014,1,0,0.33,0.47
11300015,1,0,0.33,0.47
11300045,1,0,0.33,0.47
11300046,1,0,0.33,0.47
11300051,1,0,0.33,0.47
11300060,1,0,0.33,0.47
11300073,3,0,1.0,1.41
11300083,1,0,0.33,0.47
11300089,1,0,0.33,0.47
11300114,1,0,0.33,0.47
11300116,1,0,0.33,0.47
11300120,1,1,0.67,0.47
11300121,1,0,0.33,0.47
11300123,1,0,0.33,0.47
11300130,2,0,0.67,0.94
11300141,1,0,0.33,0.47
11300142,1,0,0.33,0.47
11300149,2,0,0.67,0.94
11300157,1,0,0.33,0.47
11300164,1,0,0.33,0.47
11300187,1,0,0.33,0.47
11300191,2,0,0.67,0.94
11300194,1,0,0.33,0.47
11300219,1,0,0.33,0.47
11301004,1,0,0.33,0.47
11301055,1,0,0.33,0.47
11301056,2,1,1.0,0.82
11301082,1,0,0.33,0.47
11301086,1,0,0.33,0.47
11301088,1,1,0.67,0.47
11301089,1,0,0.33,0.47
11301090,1,0,0.33,0.47
11301093,1,0,0.33,0.47
