b,b_i_agg_count_unique_max,b_i_agg_count_unique_median,b_i_agg_count_unique_mean,b_i_agg_count_unique_std
10003.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10005.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10007.0,5.0,5.0,3.3333333333333335,2.3570226039551585
10012.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10015.0,2.0,1.0,1.0,0.816496580927726
10029.0,3.0,0.0,1.0,1.4142135623730951
10033.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10045.0,7.0,2.0,3.0,2.943920288775949
10053.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10054.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10060.0,12.0,11.0,7.666666666666667,5.436502143433364
10062.0,6.0,5.0,3.6666666666666665,2.6246692913372702
10063.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10064.0,4.0,2.0,2.0,1.632993161855452
10068.0,5.0,3.0,2.6666666666666665,2.0548046676563256
10069.0,6.0,1.0,2.3333333333333335,2.6246692913372702
10080.0,5.0,3.0,2.6666666666666665,2.0548046676563256
10082.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10084.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10086.0,18.0,14.0,10.666666666666666,7.717224601860151
10091.0,2.0,1.0,1.0,0.816496580927726
10094.0,4.0,2.0,2.0,1.632993161855452
10097.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10098.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10106.0,11.0,7.0,6.0,4.546060565661952
10107.0,5.0,4.0,3.0,2.160246899469287
10109.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10119.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10124.0,2.0,1.0,1.0,0.816496580927726
10125.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10127.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10128.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10148.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10154.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10161.0,3.0,0.0,1.0,1.4142135623730951
10163.0,2.0,2.0,1.3333333333333333,0.9428090415820634
10164.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10194.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10198.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10199.0,2.0,1.0,1.0,0.816496580927726
10211.0,5.0,3.0,2.6666666666666665,2.0548046676563256
10608.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10616.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10619.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10624.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10632.0,4.0,3.0,2.3333333333333335,1.699673171197595
10652.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10656.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10657.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10659.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10679.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10681.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10684.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10697.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10702.0,2.0,0.0,0.6666666666666666,0.9428090415820634
10703.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10706.0,28.0,23.0,17.0,12.192894105447921
10710.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10713.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10714.0,3.0,0.0,1.0,1.4142135623730951
10715.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10719.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10721.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10722.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10724.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10727.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10729.0,1.0,1.0,0.6666666666666666,0.4714045207910317
10730.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10731.0,1.0,0.0,0.3333333333333333,0.4714045207910317
10741.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11003.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11026.0,5.0,2.0,2.3333333333333335,2.0548046676563256
11027.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11032.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11036.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11046.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11048.0,4.0,2.0,2.0,1.632993161855452
11049.0,2.0,1.0,1.0,0.816496580927726
11051.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11055.0,1.0,1.0,0.6666666666666666,0.4714045207910317
11057.0,1.0,1.0,0.6666666666666666,0.4714045207910317
11079.0,6.0,2.0,2.6666666666666665,2.494438257849294
11092.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11093.0,3.0,1.0,1.3333333333333333,1.247219128924647
11094.0,3.0,1.0,1.3333333333333333,1.247219128924647
11097.0,2.0,0.0,0.6666666666666666,0.9428090415820634
11100.0,3.0,0.0,1.0,1.4142135623730951
11106.0,3.0,3.0,2.0,1.4142135623730951
11114.0,5.0,2.0,2.3333333333333335,2.0548046676563256
11116.0,3.0,0.0,1.0,1.4142135623730951
11119.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11123.0,3.0,1.0,1.3333333333333333,1.247219128924647
11126.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11128.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11129.0,7.0,3.0,3.3333333333333335,2.8674417556808756
11131.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11132.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11133.0,1.0,1.0,0.6666666666666666,0.4714045207910317
11139.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11144.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11145.0,2.0,0.0,0.6666666666666666,0.9428090415820634
11146.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11148.0,2.0,1.0,1.0,0.816496580927726
11150.0,4.0,0.0,1.3333333333333333,1.8856180831641267
11152.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11154.0,3.0,1.0,1.3333333333333333,1.247219128924647
11156.0,1.0,1.0,0.6666666666666666,0.4714045207910317
11159.0,6.0,2.0,2.6666666666666665,2.494438257849294
11165.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11204.0,3.0,0.0,1.0,1.4142135623730951
11210.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11213.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11217.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11219.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11220.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11221.0,2.0,1.0,1.0,0.816496580927726
11224.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11225.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11227.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11258.0,2.0,1.0,1.0,0.816496580927726
11284.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11287.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11288.0,2.0,1.0,1.0,0.816496580927726
11291.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11293.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11310.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11311.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11317.0,2.0,0.0,0.6666666666666666,0.9428090415820634
11322.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11324.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11327.0,2.0,0.0,0.6666666666666666,0.9428090415820634
11334.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11338.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11344.0,2.0,0.0,0.6666666666666666,0.9428090415820634
11345.0,3.0,0.0,1.0,1.4142135623730951
11346.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11374.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11375.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11378.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11379.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11384.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11385.0,7.0,3.0,3.3333333333333335,2.8674417556808756
11386.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11388.0,1.0,0.0,0.3333333333333333,0.4714045207910317
11390.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14001.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14005.0,2.0,1.0,1.0,0.816496580927726
14008.0,3.0,1.0,1.3333333333333333,1.247219128924647
14010.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14013.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14016.0,2.0,1.0,1.0,0.816496580927726
14018.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14020.0,2.0,1.0,1.0,0.816496580927726
14024.0,3.0,3.0,2.0,1.4142135623730951
14026.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14031.0,3.0,0.0,1.0,1.4142135623730951
14032.0,5.0,2.0,2.3333333333333335,2.0548046676563256
14033.0,3.0,2.0,1.6666666666666667,1.247219128924647
14035.0,6.0,2.0,2.6666666666666665,2.494438257849294
14036.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14039.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14041.0,7.0,1.0,2.6666666666666665,3.091206165165235
14043.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14044.0,5.0,2.0,2.3333333333333335,2.0548046676563256
14049.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14051.0,4.0,3.0,2.3333333333333335,1.699673171197595
14064.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14067.0,3.0,1.0,1.3333333333333333,1.247219128924647
14069.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14071.0,3.0,1.0,1.3333333333333333,1.247219128924647
14079.0,5.0,4.0,3.0,2.160246899469287
14080.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14082.0,7.0,3.0,3.3333333333333335,2.8674417556808756
14088.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14097.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14098.0,17.0,10.0,9.0,6.97614984548545
14102.0,3.0,0.0,1.0,1.4142135623730951
14110.0,3.0,0.0,1.0,1.4142135623730951
14112.0,3.0,0.0,1.0,1.4142135623730951
14116.0,2.0,1.0,1.0,0.816496580927726
14117.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14118.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14119.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14121.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14123.0,3.0,2.0,1.6666666666666667,1.247219128924647
14126.0,3.0,2.0,1.6666666666666667,1.247219128924647
14145.0,2.0,1.0,1.0,0.816496580927726
14146.0,4.0,1.0,1.6666666666666667,1.699673171197595
14148.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14149.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14151.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14152.0,4.0,1.0,1.6666666666666667,1.699673171197595
14156.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14157.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14158.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14159.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14160.0,11.0,9.0,6.666666666666667,4.784233364802441
14162.0,3.0,0.0,1.0,1.4142135623730951
14167.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14168.0,3.0,2.0,1.6666666666666667,1.247219128924647
14173.0,6.0,5.0,3.6666666666666665,2.6246692913372702
14174.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14177.0,14.0,11.0,8.333333333333334,6.018490028422596
14178.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14179.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14186.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14189.0,2.0,2.0,1.3333333333333333,0.9428090415820634
14191.0,4.0,2.0,2.0,1.632993161855452
14196.0,17.0,12.0,9.666666666666666,7.133644853010899
14197.0,2.0,1.0,1.0,0.816496580927726
14198.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14200.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14203.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14208.0,5.0,2.0,2.3333333333333335,2.0548046676563256
14213.0,2.0,1.0,1.0,0.816496580927726
14224.0,2.0,1.0,1.0,0.816496580927726
14225.0,7.0,5.0,4.0,2.943920288775949
14229.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14231.0,3.0,3.0,2.0,1.4142135623730951
14233.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14236.0,3.0,0.0,1.0,1.4142135623730951
14240.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14241.0,3.0,0.0,1.0,1.4142135623730951
14245.0,7.0,1.0,2.6666666666666665,3.091206165165235
14246.0,2.0,1.0,1.0,0.816496580927726
14249.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14251.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14258.0,6.0,4.0,3.3333333333333335,2.494438257849294
14261.0,3.0,0.0,1.0,1.4142135623730951
14265.0,5.0,4.0,3.0,2.160246899469287
14267.0,4.0,2.0,2.0,1.632993161855452
14268.0,11.0,6.0,5.666666666666667,4.4969125210773475
14281.0,8.0,7.0,5.0,3.559026084010437
14288.0,3.0,2.0,1.6666666666666667,1.247219128924647
14293.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14301.0,3.0,3.0,2.0,1.4142135623730951
14305.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14306.0,2.0,1.0,1.0,0.816496580927726
14307.0,2.0,0.0,0.6666666666666666,0.9428090415820634
14313.0,8.0,5.0,4.333333333333333,3.2998316455372216
14318.0,1.0,1.0,0.6666666666666666,0.4714045207910317
14319.0,5.0,4.0,3.0,2.160246899469287
14322.0,13.0,12.0,8.333333333333334,5.90668171555645
14329.0,1.0,0.0,0.3333333333333333,0.4714045207910317
14330.0,10.0,7.0,5.666666666666667,4.189935029992179
