b,b_agg_count_max,b_agg_count_median,b_agg_count_mean,b_agg_count_std,b_agg_amount_max,b_agg_amount_median,b_agg_amount_mean,b_agg_amount_std
10003.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.0,0.0,1.6666666666666667,2.357022603955158
10007.0,14.0,10.0,10.666666666666666,2.494438257849294,43.0,40.60000000000001,40.233333333333334,2.4225789747475495
10010.0,1.0,0.0,0.3333333333333333,0.4714045207910317,47.0,0.0,15.666666666666666,22.15601247717849
10012.0,5.0,2.0,2.6666666666666665,1.699673171197595,431.0,77.8,188.9333333333333,171.35774145207318
10015.0,3.0,1.0,1.3333333333333333,1.247219128924647,18.5,3.5,7.333333333333333,8.024268744807149
10033.0,21.0,5.0,10.333333333333334,7.542472332656507,127.0,34.0,63.666666666666664,44.81319250201019
10038.0,2.0,0.0,0.6666666666666666,0.9428090415820634,11.2,0.0,3.733333333333333,5.279730632859555
10043.0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.0,0.0,3.3333333333333335,4.714045207910316
10045.0,10.0,2.0,4.666666666666667,3.7712361663282534,116.4,11.2,44.53333333333334,50.86172977352969
10047.0,2.0,0.0,0.6666666666666666,0.9428090415820634,30.4,0.0,10.133333333333333,14.330697432047364
10049.0,2.0,0.0,0.6666666666666666,0.9428090415820634,20.0,0.0,6.666666666666667,9.428090415820632
10053.0,2.0,1.0,1.0,0.816496580927726,5.8,2.9,2.9,2.3678400846904055
10060.0,18.0,9.0,11.0,5.0990195135927845,46.79999999999999,21.9,27.366666666666664,14.172822192100229
10062.0,13.0,12.0,11.333333333333334,1.699673171197595,54.00000000000001,46.2,48.40000000000001,3.9899874686519974
10063.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10064.0,9.0,2.0,4.333333333333333,3.299831645537222,72.60000000000002,8.9,30.133333333333344,30.028467974388725
10066.0,5.0,3.0,2.6666666666666665,2.0548046676563256,16.900000000000002,9.9,8.933333333333335,6.933173075070959
10068.0,18.0,5.0,8.666666666666666,6.649979114420002,56.2,10.5,24.333333333333332,22.59827918719083
10069.0,8.0,7.0,5.666666666666667,2.6246692913372702,30.3,28.0,22.7,9.169878225291034
10075.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.5,0.0,1.5,2.1213203435596424
10080.0,16.0,8.0,8.666666666666666,5.734883511361751,75.99999999999999,34.2,39.86666666666667,27.483004849462063
10083.0,14.0,1.0,5.0,6.377042156569663,308.0,17.0,108.33333333333333,141.3561302369146
10084.0,6.0,0.0,2.0,2.8284271247461903,94.8,0.0,31.599999999999998,44.6891485709898
10085.0,2.0,0.0,0.6666666666666666,0.9428090415820634,23.0,0.0,7.666666666666667,10.842303978193728
10086.0,33.0,28.0,27.666666666666668,4.496912521077347,176.0,100.5,124.7,36.29389296654007
10087.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.5,0.0,2.5,3.5355339059327378
10091.0,37.0,4.0,13.666666666666666,16.579773487261185,276.8,22.0,99.60000000000001,125.62080507092234
10094.0,10.0,3.0,4.666666666666667,3.8586123009300755,48.00000000000001,12.0,20.666666666666668,19.754043186705406
10097.0,1.0,1.0,0.6666666666666666,0.4714045207910317,4.9,3.9,2.9333333333333336,2.1139746660943906
10098.0,7.0,0.0,2.3333333333333335,3.2998316455372216,345.0,0.0,115.0,162.63455967290594
10104.0,23.0,20.0,15.666666666666666,8.339997335464535,380.0,373.0,266.6666666666667,155.35407586828512
10106.0,13.0,8.0,8.333333333333334,3.6817870057290873,66.2,39.3,41.5,19.332011449062062
10107.0,37.0,9.0,18.0,13.4412301024373,100.6,18.5,44.96666666666666,39.354147035463605
10109.0,4.0,3.0,2.6666666666666665,1.247219128924647,15.2,11.4,10.133333333333333,4.7394326899136585
10116.0,1.0,1.0,0.6666666666666666,0.4714045207910317,24.0,24.0,16.0,11.313708498984761
10119.0,2.0,0.0,0.6666666666666666,0.9428090415820634,11.0,0.0,3.6666666666666665,5.185449728701348
10123.0,23.0,4.0,10.0,9.201449161228174,91.07,15.47,39.203333333333326,36.71923504407767
10124.0,16.0,13.0,11.333333333333334,4.642796092394707,72.9,52.5,48.46666666666667,21.78383702554616
10125.0,1.0,1.0,1.0,0.0,11.9,11.9,8.933333333333334,4.195500235040182
10127.0,26.0,0.0,8.666666666666666,12.256517540566824,78.7,0.0,26.233333333333334,37.099535786254194
10129.0,1.0,0.0,0.3333333333333333,0.4714045207910317,1.5,0.0,0.5,0.7071067811865476
10130.0,1.0,0.0,0.3333333333333333,0.4714045207910317,23.0,0.0,7.666666666666667,10.842303978193728
10133.0,5.0,1.0,2.0,2.160246899469287,407.0,125.0,177.33333333333334,170.22795174575637
10137.0,3.0,2.0,1.6666666666666667,1.247219128924647,21.9,17.8,13.233333333333334,9.505904597786694
10154.0,5.0,2.0,2.3333333333333335,2.0548046676563256,19.5,7.8,9.1,8.013738203859669
10161.0,2.0,1.0,1.0,0.816496580927726,13.0,4.5,5.833333333333333,5.390320542932076
10163.0,6.0,1.0,2.6666666666666665,2.3570226039551585,19.500000000000004,5.8,9.333333333333334,7.299467256055215
10185.0,2.0,0.0,0.6666666666666666,0.9428090415820634,146.0,0.0,48.666666666666664,68.82506003549064
10190.0,1.0,0.0,0.3333333333333333,0.4714045207910317,59.0,0.0,19.666666666666668,27.812866726670865
10198.0,4.0,0.0,1.3333333333333333,1.8856180831641267,94.9,0.0,31.633333333333336,44.736289023068906
10199.0,3.0,1.0,1.3333333333333333,1.247219128924647,10.0,7.1,5.7,4.200793575821915
