,b,c,b_c_agg_count_max,b_c_agg_count_median,b_c_agg_count_mean,b_c_agg_count_std,b_c_agg_amount_max,b_c_agg_amount_median,b_c_agg_amount_mean,b_c_agg_amount_std
369,14044.0,14594.0,3.0,1.0,1.3333333333333333,1.247219128924647,6.9,2.3,3.0666666666666664,2.8686039965266885
370,14045.0,14101.0,1.0,1.0,0.6666666666666666,0.4714045207910317,15.0,8.5,7.833333333333333,6.141841924229427
371,14045.0,14401.0,0.368,0.0,0.12266666666666666,0.17347686365109968,21.93,0.0,7.31,10.337901140947325
372,14049.0,14077.0,1.0,0.0,0.3333333333333333,0.4714045207910317,9.8,0.0,3.266666666666667,4.619764303752111
373,14051.0,14130.0,13.0,3.0,5.333333333333333,5.557777333511022,75.69999999999997,22.0,32.566666666666656,31.79479342422102
374,14051.0,14131.0,3.0,2.0,2.3333333333333335,0.4714045207910317,44.8,30.3,28.7,13.845095401139952
375,14051.0,14132.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.9,0.0,4.3,6.081118318204309
376,14067.0,14131.0,7.0,4.0,4.666666666666667,1.699673171197595,77.69999999999997,57.4,54.83333333333332,19.801739541991974
377,14069.0,14300.0,2.0,0.0,0.6666666666666666,0.9428090415820634,21.6,0.0,7.2,10.182337649086286
378,14069.0,14515.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.5,0.0,4.166666666666667,5.892556509887896
379,14070.0,14705.0,1.0,0.0,0.3333333333333333,0.4714045207910317,39.9,0.0,13.299999999999999,18.809040379562163
380,14070.0,14820.0,1.0,1.0,0.6666666666666666,0.4714045207910317,26.9,26.9,17.933333333333334,12.680781609278752
381,14071.0,14092.0,2.0,1.0,1.3333333333333333,0.4714045207910317,12.6,6.3,8.4,2.9698484809834995
382,14079.0,14861.0,2.0,2.0,1.3333333333333333,0.9428090415820634,20.5,20.5,13.666666666666666,9.66379267621615
383,14079.0,14862.0,1.0,0.0,0.3333333333333333,0.4714045207910317,12.5,0.0,4.166666666666667,5.892556509887896
384,14079.0,14863.0,5.0,3.0,3.3333333333333335,1.247219128924647,35.8,20.8,22.866666666666664,9.82559017170074
385,14080.0,14640.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.9,0.0,1.6333333333333335,2.3098821518760553
386,14080.0,14651.0,1.0,1.0,0.6666666666666666,0.4714045207910317,12.5,12.5,8.333333333333334,5.892556509887896
387,14080.0,14653.0,2.0,0.0,0.6666666666666666,0.9428090415820634,19.8,0.0,6.6000000000000005,9.333809511662428
388,14080.0,14655.0,1.0,0.0,0.3333333333333333,0.4714045207910317,9.9,0.0,3.3000000000000003,4.666904755831214
389,14082.0,14050.0,6.0,3.0,3.6666666666666665,1.699673171197595,33.8,17.700000000000006,20.633333333333336,9.775593190299103
390,14082.0,14052.0,9.0,5.0,5.666666666666667,2.494438257849294,56.1,31.9,35.43333333333334,15.632729199414356
391,14082.0,14054.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.5,0.0,1.5,2.1213203435596424
392,14084.0,14570.0,1.0,1.0,0.6666666666666666,0.4714045207910317,29.8,25.8,18.533333333333335,13.206395756938715
393,14088.0,14830.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.9,0.0,2.3000000000000003,3.2526911934581184
394,14088.0,14844.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.064129385141706
395,14092.0,14101.0,6.0,1.0,2.3333333333333335,2.6246692913372702,33.0,5.5,12.833333333333334,14.435681102354987
396,14097.0,14905.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.0,0.0,1.0,1.4142135623730951
397,14098.0,14800.0,1.0,1.0,1.0,0.0,8.5,8.5,7.666666666666667,1.178511301977579
398,14098.0,14801.0,2.0,1.0,1.0,0.816496580927726,17.5,8.5,8.666666666666666,7.145317036742005
399,14098.0,14802.0,3.0,1.0,1.6666666666666667,0.9428090415820634,34.0,15.0,18.833333333333332,11.152976682881073
400,14098.0,14804.0,1.0,0.0,0.3333333333333333,0.4714045207910317,9.9,0.0,3.3000000000000003,4.666904755831214
401,14098.0,14811.0,2.0,2.0,1.6666666666666667,0.4714045207910317,23.8,19.8,16.2,8.08620224003003
402,14098.0,14812.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.5,0.0,1.8333333333333333,2.592724864350674
403,14098.0,14813.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.9,0.0,1.9666666666666668,2.781286672667087
404,14098.0,14814.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.5,0.0,1.8333333333333333,2.592724864350674
405,14098.0,14815.0,1.0,1.0,0.6666666666666666,0.4714045207910317,14.8,9.9,8.233333333333334,6.155936610748648
406,14098.0,14818.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.064129385141706
407,14098.0,14822.0,3.0,2.0,2.0,0.816496580927726,15.89,15.78,13.056666666666667,3.9294133008489815
408,14098.0,14823.0,2.0,1.0,1.0,0.816496580927726,19.8,9.9,9.9,8.083316151184487
409,14098.0,14831.0,4.0,0.0,1.3333333333333333,1.8856180831641267,38.3,0.0,12.766666666666666,18.05479314629651
410,14098.0,14839.0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.9,0.0,3.6333333333333333,5.138309276622246
411,14098.0,14916.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.9,0.0,2.3000000000000003,3.2526911934581184
412,14098.0,14956.0,1.0,0.0,0.3333333333333333,0.4714045207910317,13.8,0.0,4.6000000000000005,6.505382386916237
413,14102.0,14090.0,5.0,4.0,4.0,0.816496580927726,42.8,34.1,34.13333333333333,7.062734755193785
414,14104.0,14845.0,10.0,7.0,6.333333333333333,3.299831645537222,106.0,72.4,66.23333333333333,35.25756026096468
415,14108.0,14531.0,1.0,0.0,0.3333333333333333,0.4714045207910317,23.8,0.0,7.933333333333334,11.219427594826554
416,14108.0,14541.0,1.0,1.0,0.6666666666666666,0.4714045207910317,25.0,23.8,16.266666666666666,11.512698303274616
417,14110.0,14593.0,3.0,3.0,2.6666666666666665,0.4714045207910317,14.4,14.4,12.799999999999999,2.2627416997969525
418,14112.0,14812.0,6.0,4.0,3.6666666666666665,2.0548046676563256,92.5,31.6,43.88333333333333,35.751790941931226
