u,b,u_b_count_all,u_b_count_2,u_b_count_3,u_b_count_4,u_b_amount_all,u_b_amount_2,u_b_amount_3,u_b_amount_4,u_count_all,u_count_2,u_count_3,u_count_4,u_amount_all,u_amount_2,u_amount_3,u_amount_4,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4,u_b_count_unique_all,u_b_count_unique_2,u_b_count_unique_3,u_b_count_unique_4,b_user_all,b_user_2,b_user_3,b_user_4,b_agg_count_max,b_agg_count_median,b_agg_count_mean,b_agg_count_std,b_agg_amount_max,b_agg_amount_median,b_agg_amount_mean,b_agg_amount_std,u_b_agg_count_max,u_b_agg_count_median,u_b_agg_count_mean,u_b_agg_count_std,u_b_agg_amount_max,u_b_agg_amount_median,u_b_agg_amount_mean,u_b_agg_amount_std,u_agg_count_max,u_agg_count_median,u_agg_count_mean,u_agg_count_std,u_agg_amount_max,u_agg_amount_median,u_agg_amount_mean,u_agg_amount_std,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std,b_user_agg_count_mean,b_user_agg_count_std,b_user_agg_count_max,b_user_agg_count_median,b_user_agg_amount_mean,b_user_agg_amount_std,b_user_agg_amount_max,b_user_agg_amount_median,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median,tag
781924,10106.0,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,25.0,4.0,13.0,8.0,124.5,19.0,66.2,39.3,8,0,0,8,20,3,11,7,13.0,8.0,8.333333333333334,3.6817870057290873,66.2,39.3,41.5,19.332011449062065,1.0,0.0,0.3333333333333333,0.4714045207910317,5.5,0.0,1.8333333333333333,2.5927248643506737,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,11.0,7.0,7.0,3.27,1.25,0.54,3,1,6.22,3.28,16.5,5.5,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,11129.0,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,20.0,11.0,6.0,3.0,325.4000000000001,212.4,65.6,47.4,8,0,0,8,17,8,6,3,11.0,6.0,6.666666666666668,3.2998316455372216,212.4,65.6,108.46666666666664,73.86660649817043,1.0,0.0,0.3333333333333333,0.4714045207910317,9.9,0.0,3.3000000000000003,4.666904755831213,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,8.0,6.0,5.67,2.05,1.06,0.24,2,1,19.14,12.93,59.7,17.5,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,11149.0,1.0,0.0,0.0,1.0,15.6,0.0,0.0,15.6,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,2.0,0.0,0.0,2.0,20.1,0.0,0.0,20.1,8,0,0,8,2,0,0,2,2.0,0.0,0.6666666666666666,0.9428090415820634,20.1,0.0,6.7,9.475230867899738,1.0,0.0,0.3333333333333333,0.4714045207910317,15.6,0.0,5.2,7.353910524340094,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,2.0,0.0,0.67,0.94,1.0,0.0,1,1,10.05,5.55,15.6,15.6,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,14082.0,1.0,0.0,0.0,1.0,5.9,0.0,0.0,5.9,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,29.0,7.0,7.0,15.0,172.70000000000005,40.5,42.3,89.9,8,0,0,8,19,6,7,7,15.0,7.0,9.666666666666666,3.771236166328253,89.9,42.3,57.56666666666666,22.874925622222737,1.0,0.0,0.3333333333333333,0.4714045207910317,5.9,0.0,1.9666666666666668,2.7812866726670866,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,7.0,7.0,6.67,0.47,1.53,0.99,5,1,9.09,6.15,30.7,6.5,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,14350.0,0.522,0.0,0.0,0.522,15.45,0.0,0.0,15.45,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,17.378,3.0,6.856,7.522,98.09000000000002,11.5,46.14,40.45,8,0,0,8,10,1,4,6,7.522,6.856,5.792666666666666,1.9933438126814844,46.14,40.45,32.696666666666665,15.16724614277607,0.522,0.0,0.17400000000000002,0.2460731598529185,15.45,0.0,5.15,7.2831998462214385,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,6.0,4.0,3.67,2.05,1.8,0.75,3,2,9.81,8.78,33.74,8.0,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,14759.0,1.0,0.0,0.0,1.0,10.9,0.0,0.0,10.9,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,10.0,3.0,4.0,3.0,75.7,25.9,22.0,27.8,8,0,0,8,7,3,2,3,4.0,3.0,3.333333333333333,0.4714045207910317,27.8,25.9,25.23333333333333,2.4143091949642432,1.0,0.0,0.3333333333333333,0.4714045207910317,10.9,0.0,3.633333333333333,5.138309276622246,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,3.0,3.0,2.67,0.47,1.43,0.73,3,1,10.81,3.68,16.5,10.9,1.0,0.0,1,1,12.98,7.04,27.6,10.9,0.0
781924,15094.0,12.0,0.0,0.0,12.0,27.6,0.0,0.0,27.6,18.522000000000002,0.0,0.0,18.522000000000002,101.65,0.0,0.0,101.65,1027.0,379.0,364.0,284.0,5613.769999999999,2155.88,1756.63,1701.2600000000007,8,0,0,8,140,55,67,58,379.0,364.0,342.3333333333333,41.69998667732268,2155.88,1756.63,1871.256666666667,202.52455099457816,12.0,0.0,4.0,5.656854249492381,27.6,0.0,9.2,13.010764773832474,18.522,0.0,6.1739999999999995,8.73135453409149,101.65,0.0,33.88333333333333,47.91826953840837,8,0,2.6666666666666665,3.771236166328253,67.0,58.0,60.0,5.1,2.01,1.69,11,1,40.1,44.86,276.0,23.6,1.0,0.0,1,1,12.98,7.04,27.6,10.9,1.0
13325038116,15009.0,1.0,0.0,1.0,0.0,6.5,0.0,6.5,0.0,2.644,0.0,2.644,0.0,55.75,0.0,55.75,0.0,159.0,26.0,56.0,77.0,745.0,140.0,268.0,337.0,5,0,5,0,65,18,28,29,77.0,56.0,53.0,20.928449536456352,337.0,268.0,248.33333333333331,81.61835305588784,1.0,0.0,0.3333333333333333,0.4714045207910317,6.5,0.0,2.1666666666666665,3.064129385141706,2.6439999999999997,0.0,0.8813333333333334,1.2463935529714878,55.75,0.0,18.58333333333333,26.280802034100017,5,0,1.6666666666666667,2.3570226039551585,29.0,28.0,25.0,4.97,2.38,3.2,23,2,11.46,11.26,65.0,7.0,1.0,0.0,1,1,10.7,4.2,14.9,14.9,0.0
13325038116,15012.0,1.0,0.0,1.0,0.0,14.9,0.0,14.9,0.0,2.644,0.0,2.644,0.0,55.75,0.0,55.75,0.0,649.0,228.0,227.0,194.0,2632.480000000005,812.3999999999997,1113.6099999999997,706.4699999999992,5,0,5,0,117,48,51,47,228.0,227.0,216.33333333333331,15.797327481430381,1113.6099999999997,812.3999999999997,877.4933333333328,172.46951698456436,1.0,0.0,0.3333333333333333,0.4714045207910317,14.9,0.0,4.966666666666667,7.023927359786372,2.6439999999999997,0.0,0.8813333333333334,1.2463935529714878,55.75,0.0,18.58333333333333,26.280802034100017,5,0,1.6666666666666667,2.3570226039551585,51.0,48.0,48.67,1.7,2.21,2.04,18,1,22.5,21.95,165.3,16.8,1.0,0.0,1,1,10.7,4.2,14.9,14.9,1.0
13854627199,14002.0,1.0,0.0,1.0,0.0,9.8,0.0,9.8,0.0,41.387,0.0,3.076,38.311,310.7100000000001,0.0,59.17,251.54,4.0,0.0,4.0,0.0,53.0,0.0,53.0,0.0,28,0,4,25,2,0,2,0,4.0,0.0,1.3333333333333333,1.8856180831641267,53.0,0.0,17.666666666666668,24.98443960192468,1.0,0.0,0.3333333333333333,0.4714045207910317,9.8,0.0,3.266666666666667,4.6197643037521114,38.311,3.076,13.795666666666667,17.380383968396348,251.54,59.17,103.57,107.38284437779932,25,4,9.666666666666666,10.964589468932349,2.0,0.0,0.67,0.94,2.0,1.0,3,3,26.5,16.7,43.2,43.2,1.33,0.47,2,1,17.81,10.19,35.9,18.5,0.0
