u,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median
1595160353664,1.4,0.49,2,1,53.9,87.84,229.0,12.9
1596130424193,1.0,0.0,1,1,17.65,17.15,34.8,34.8
1596140586607,2.0,1.41,5,1,20.51,22.94,72.2,14.2
1596140587802,1.0,0.0,1,1,5.72,1.35,6.9,6.5
1596140594374,1.44,0.68,3,1,15.41,19.34,68.5,8.99
1596140628703,1.2,0.4,2,1,11.66,13.38,36.8,4.5
1596160006376,1.4,0.61,3,1,22.99,25.74,99.6,15.0
1596160024097,1.72,0.8,3,2,15.77,17.93,69.0,7.5
1596160058337,1.0,0.0,1,1,4.08,1.31,6.0,4.5
1598140107578,1.75,1.64,6,1,13.64,7.96,22.5,18.6
1598140129341,1.4,0.66,3,1,15.49,13.45,48.0,13.0
2900000040663,1.5,0.87,3,1,24.53,29.6,75.0,14.9
2900000050785,1.29,0.45,2,1,17.0,13.5,56.9,13.89
2900000071742,1.27,0.62,3,1,8.67,5.94,22.39,8.5
2900000072022,1.28,0.78,5,1,26.31,50.17,276.0,11.5
2900000072701,1.0,0.0,1,1,4.5,0.0,4.5,4.5
2900000074163,1.56,1.0,4,1,20.84,21.76,89.9,12.9
2900000124974,1.57,1.24,5,1,50.56,90.18,338.0,11.9
2900000125261,2.12,1.27,4,2,9.41,8.14,28.5,9.8
2900000164567,1.82,1.19,5,1,13.25,12.76,49.5,9.8
2900000177079,1.5,0.5,2,2,5.0,2.5,7.5,7.5
2900000178106,1.17,0.37,2,1,13.05,10.56,34.8,10.9
2900000179417,1.5,0.76,3,1,39.42,18.88,69.9,47.2
2900000192492,2.0,1.0,4,2,33.5,29.98,91.0,29.8
2900000194298,1.0,0.0,1,1,10.9,0.0,10.9,10.9
2900000203457,2.0,1.41,4,1,4.97,4.17,10.8,2.8
2900000210790,1.62,1.11,4,1,40.04,47.54,149.8,26.0
2900000224001,1.44,0.96,4,1,18.9,22.52,78.0,9.9
2900000224315,1.3,0.64,3,1,18.38,14.37,50.7,11.0
2900000239876,1.0,0.0,1,1,2.55,2.35,4.9,4.9
2900000245396,1.13,0.34,2,1,6.37,3.99,16.8,5.8
2900000245914,1.8,1.39,8,2,26.19,36.65,176.0,14.9
2900000246638,1.17,0.37,2,1,11.79,18.53,72.0,5.9
2900000253230,1.0,0.0,1,1,5.91,3.4,10.9,5.8
2900000254503,1.0,0.0,1,1,7.9,4.18,13.8,9.9
2900000255463,1.68,0.98,4,1,11.98,8.44,35.2,10.5
2900000256637,1.0,0.0,1,1,16.52,5.72,22.8,17.5
2900000268692,1.67,0.47,2,2,31.13,38.31,108.0,10.0
2900000271814,1.33,0.75,3,1,21.6,44.5,168.0,8.56
2900000284333,1.8,0.75,3,2,20.36,18.23,55.6,10.8
2900000304376,1.0,0.0,1,1,11.2,1.3,12.5,12.5
2900000307377,1.0,0.0,1,1,15.0,5.0,20.0,20.0
2900000308312,1.56,1.06,5,1,14.9,11.4,38.5,13.3
2900000317307,1.2,0.4,2,1,11.48,7.22,24.9,10.5
2900000330863,1.38,0.6,3,1,9.83,13.01,57.8,7.0
2900000337633,1.62,0.7,3,2,49.58,54.13,178.0,27.8
2900000339637,1.5,0.87,3,1,10.53,9.42,25.7,9.9
2900000342651,2.0,2.49,9,1,39.13,37.06,106.9,23.8
2900000345300,1.0,0.0,1,1,10.4,13.1,28.9,2.1
2900000350175,1.47,1.14,6,1,13.79,8.14,29.9,11.9
2900000350458,1.79,0.94,4,2,20.95,16.34,63.7,16.69
2900000353848,1.22,0.42,2,1,7.69,4.44,16.6,7.0
2900000372849,1.4,0.71,3,1,10.18,9.88,37.8,6.0
2900000383913,1.85,1.87,9,1,33.52,47.69,218.0,16.0
2900000384187,1.0,0.0,1,1,10.9,0.0,10.9,10.9
2900000386440,1.21,0.41,2,1,9.66,9.03,29.9,6.6
2900000386495,1.25,0.43,2,1,6.53,1.71,8.5,7.6
2900000394940,1.33,0.47,2,1,13.4,9.78,24.0,15.8
2900000404731,2.5,1.61,6,2,156.18,190.32,502.0,58.0
2900000408586,2.6,1.62,5,2,45.46,47.47,128.7,17.8
2900000416307,1.69,0.85,4,2,16.57,22.73,98.0,10.3
2900000417663,1.0,0.0,1,1,12.5,0.0,12.5,12.5
2900000418073,1.82,1.42,7,1,18.87,26.24,139.8,12.4
2900000448520,2.13,2.24,11,1,27.39,30.9,156.3,15.9
2900000449732,1.4,0.8,3,1,9.22,6.01,16.8,11.9
2900000451452,3.42,3.77,16,2,65.77,89.1,303.6,28.9
2900000452756,1.68,0.73,4,2,14.77,12.02,47.7,11.5
2900000476042,1.8,0.75,3,2,16.88,16.91,49.6,8.0
2900000485990,1.86,1.64,7,1,16.71,19.01,73.3,9.6
2900000544765,1.0,0.0,1,1,7.1,6.8,13.9,13.9
2900000557161,1.0,0.0,1,1,56.83,81.74,198.0,19.9
2900000562165,1.63,1.42,7,1,19.86,25.15,96.0,11.8
