b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
11221.0,3.0,1.0,1.67,0.94
11224.0,5.0,4.0,4.0,0.82
11225.0,3.0,0.0,1.0,1.41
11227.0,1.0,0.0,0.33,0.47
11228.0,2.0,0.0,0.67,0.94
11233.0,1.0,0.0,0.33,0.47
11234.0,2.0,0.0,0.67,0.94
11235.0,1.0,0.0,0.33,0.47
11241.0,2.0,2.0,1.67,0.47
11258.0,1.0,1.0,1.0,0.0
11260.0,3.0,1.0,1.33,1.25
11263.0,1.0,0.0,0.33,0.47
11265.0,2.0,1.0,1.0,0.82
11276.0,1.0,0.0,0.33,0.47
11281.0,2.0,1.0,1.0,0.82
11286.0,1.0,0.0,0.33,0.47
11288.0,1.0,1.0,0.67,0.47
11291.0,3.0,1.0,1.33,1.25
11301.0,2.0,1.0,1.0,0.82
11305.0,1.0,0.0,0.33,0.47
11306.0,1.0,0.0,0.33,0.47
11310.0,1.0,0.0,0.33,0.47
11312.0,1.0,0.0,0.33,0.47
11313.0,1.0,0.0,0.33,0.47
11314.0,2.0,0.0,0.67,0.94
11317.0,1.0,0.0,0.33,0.47
11318.0,1.0,0.0,0.33,0.47
11321.0,1.0,0.0,0.33,0.47
11327.0,3.0,2.0,1.67,1.25
11334.0,1.0,1.0,0.67,0.47
11337.0,1.0,0.0,0.33,0.47
11338.0,2.0,0.0,0.67,0.94
11342.0,1.0,0.0,0.33,0.47
11344.0,1.0,1.0,1.0,0.0
11345.0,1.0,0.0,0.33,0.47
11351.0,1.0,0.0,0.33,0.47
11352.0,1.0,0.0,0.33,0.47
11356.0,1.0,0.0,0.33,0.47
11365.0,1.0,0.0,0.33,0.47
11375.0,2.0,0.0,0.67,0.94
11376.0,1.0,0.0,0.33,0.47
11378.0,1.0,1.0,0.67,0.47
11379.0,4.0,2.0,2.33,1.25
11381.0,1.0,0.0,0.33,0.47
11383.0,2.0,1.0,1.0,0.82
11384.0,1.0,1.0,0.67,0.47
11385.0,6.0,2.0,3.0,2.16
11387.0,1.0,0.0,0.33,0.47
