b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
34017.0,1.0,0.0,0.33,0.47
34020.0,1.0,0.0,0.33,0.47
34039.0,2.0,2.0,1.33,0.94
34040.0,1.0,0.0,0.33,0.47
34048.0,1.0,0.0,0.33,0.47
34074.0,1.0,1.0,0.67,0.47
34077.0,1.0,0.0,0.33,0.47
34079.0,1.0,1.0,0.67,0.47
34099.0,1.0,0.0,0.33,0.47
34106.0,1.0,0.0,0.33,0.47
34111.0,1.0,0.0,0.33,0.47
34119.0,1.0,0.0,0.33,0.47
34122.0,3.0,1.0,1.33,1.25
34129.0,4.0,1.0,2.0,1.41
34175.0,1.0,0.0,0.33,0.47
34194.0,1.0,0.0,0.33,0.47
34195.0,1.0,0.0,0.33,0.47
34214.0,5.0,1.0,2.0,2.16
34241.0,1.0,0.0,0.33,0.47
34384.0,1.0,0.0,0.33,0.47
34763.0,3.0,0.0,1.0,1.41
34764.0,3.0,0.0,1.0,1.41
34801.0,1.0,0.0,0.33,0.47
34811.0,1.0,0.0,0.33,0.47
34815.0,1.0,0.0,0.33,0.47
34818.0,1.0,0.0,0.33,0.47
34846.0,1.0,0.0,0.33,0.47
