u,u_c_count_unique_all,u_c_count_unique_2,u_c_count_unique_3,u_c_count_unique_4
1596140594374,22,0,14,11
1596140628703,16,12,5,3
1596160006376,19,5,13,4
1596160024097,24,11,8,11
1596160058337,14,0,7,8
1598140107578,15,0,3,12
1598140129341,10,6,4,1
2900000040663,16,4,12,0
2900000050419,2,1,1,0
2900000050785,34,2,9,29
2900000071742,23,13,5,7
2900000072022,45,33,4,12
2900000072701,4,4,0,0
2900000074163,19,10,9,5
2900000124974,22,2,10,12
2900000125261,15,0,1,15
2900000164567,14,7,5,4
2900000177079,17,11,6,3
2900000178106,17,0,10,9
2900000179417,10,1,6,3
2900000192492,9,7,4,0
2900000194298,2,0,2,0
2900000203457,15,0,0,15
2900000210790,10,4,5,3
2900000224001,29,18,9,9
2900000224315,18,16,4,0
2900000239876,11,0,9,3
2900000245396,29,5,9,17
2900000245914,41,22,0,21
2900000246638,18,3,3,12
2900000253230,20,10,10,0
2900000254503,3,2,0,2
2900000255463,35,26,12,0
2900000256637,11,0,11,0
2900000268692,15,2,7,9
2900000271814,33,15,4,17
2900000284333,9,9,0,0
2900000304376,12,8,5,4
2900000307377,5,2,3,0
2900000308312,30,19,18,0
2900000317307,15,11,4,0
2900000330863,24,7,11,10
2900000337633,9,9,0,0
2900000339637,9,9,0,0
2900000342651,15,5,7,4
2900000345300,10,0,3,7
2900000348561,4,1,2,2
2900000350175,35,19,11,7
2900000350458,22,12,12,1
2900000353848,20,1,3,16
2900000372849,19,19,1,0
2900000383913,73,36,32,18
2900000384187,5,5,0,0
2900000385627,4,4,0,0
2900000386440,29,7,21,9
2900000386495,11,3,3,5
2900000390256,1,0,0,1
2900000394940,10,6,0,5
2900000404731,11,9,0,2
2900000408586,19,11,7,5
2900000416307,23,4,7,14
2900000417663,8,8,0,0
2900000418073,34,0,16,24
2900000448520,38,20,25,0
2900000449732,16,0,5,14
2900000451452,29,14,6,14
2900000452756,24,22,0,3
2900000476042,6,6,0,0
2900000485990,28,22,5,3
2900000544765,18,9,10,7
2900000557161,5,5,0,0
2900000562165,28,15,3,13
2900000566378,37,37,0,0
2900000574274,4,4,0,0
2900000587649,11,0,0,11
2900000588691,57,39,0,32
2900000604360,20,3,12,7
2900000623040,9,3,6,0
2900000680036,9,0,0,9
