i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
10119074,1.0,0.0,1,1,10.9,0.0,10.9,10.9
10119075,1.0,0.0,1,1,2.8,0.0,2.8,2.8
10119104,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10119134,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10119136,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10119137,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10119138,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10119139,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10119140,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10119146,1.0,0.0,1,1,2.99,0.0,2.99,2.99
10119147,1.25,0.43,2,1,4.19,2.08,7.8,2.99
10120000,1.0,0.0,1,1,48.0,0.0,48.0,48.0
10130001,2.0,0.0,2,2,5.0,0.0,5.0,5.0
10130002,1.33,0.47,2,1,5.2,1.84,7.8,3.9
10130004,2.5,1.5,4,4,7.0,4.2,11.2,11.2
10130006,1.33,0.47,2,1,7.33,2.59,11.0,5.5
10130009,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10130010,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10130011,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10130012,1.0,0.0,1,1,4.9,0.0,4.9,4.9
10131000,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10131001,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10131002,2.0,1.0,3,3,6.89,3.9,10.79,10.79
10131007,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10131008,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10131017,1.67,0.94,3,1,9.2,4.53,15.6,6.0
10131019,1.0,0.0,1,1,4.9,0.0,4.9,4.9
