u,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std
2900000863286,12,3,5.666666666666667,4.4969125210773475
2900000863880,16,15,12.666666666666666,4.027681991198191
2900000864498,45,22,22.333333333333332,18.372685039360892
2900000870994,5,2,3.0,1.4142135623730951
2900000874145,23,12,12.666666666666666,8.178562764256865
2900000874930,12,12,8.0,5.656854249492381
2900000880467,6,4,3.3333333333333335,2.494438257849294
2900000883475,32,8,14.666666666666666,12.36482466066094
2900000883819,11,3,5.333333333333333,4.0276819911981905
2900000884007,38,0,12.666666666666666,17.913371790059205
2900000890688,20,5,8.333333333333334,8.498365855987974
2900000934474,21,7,10.666666666666666,7.408703590297622
2900000936997,12,9,7.0,5.0990195135927845
2900000941830,20,13,12.333333333333334,6.548960901462833
2900001020541,16,0,5.333333333333333,7.542472332656507
2900001047739,29,19,21.666666666666668,5.2493385826745405
2900001050364,16,4,6.666666666666667,6.79869268479038
2900001050500,15,10,9.666666666666666,4.4969125210773475
2900001050791,39,23,24.666666666666668,11.08552609887726
2900001067881,20,2,7.333333333333333,8.993825042154695
2900001067911,10,9,8.333333333333334,1.699673171197595
2900001068499,23,22,18.0,6.377042156569663
2900001068833,23,8,11.333333333333334,8.498365855987974
2900001078658,8,8,5.333333333333333,3.7712361663282534
2900001090605,3,2,1.6666666666666667,1.247219128924647
2900001092012,8,5,4.333333333333333,3.2998316455372216
2900001093019,10,9,8.333333333333334,1.699673171197595
2900001094702,21,15,13.333333333333334,7.039570693980959
2900001157902,22,13,11.666666666666666,9.030811456096044
2900001211239,18,8,8.666666666666666,7.363574011458175
2900001211321,16,4,6.666666666666667,6.79869268479038
2900001215688,36,6,16.0,14.142135623730951
2900001216616,25,20,19.666666666666668,4.496912521077347
2900001220255,10,5,6.666666666666667,2.357022603955158
2900001234399,12,7,7.0,4.08248290463863
2900001238632,9,9,7.666666666666667,1.8856180831641267
2900001240246,17,2,7.0,7.0710678118654755
2900001255080,14,8,7.333333333333333,5.734883511361751
2900001270014,3,0,1.0,1.4142135623730951
2900001270199,11,5,5.333333333333333,4.4969125210773475
2900001270205,29,9,13.333333333333334,11.440668201153676
2900001307901,14,0,4.666666666666667,6.599663291074443
2900001308168,16,7,7.666666666666667,6.548960901462833
2900001331616,25,15,18.0,4.96655480858378
2900001355049,6,2,2.6666666666666665,2.494438257849294
2900001364058,32,14,18.0,10.198039027185569
2900001398121,17,15,11.666666666666666,6.182412330330469
2900001413886,13,6,6.333333333333333,5.312459150169743
2900001419826,19,16,11.666666666666666,8.339997335464535
2900001421652,11,6,6.666666666666667,3.2998316455372216
2900001423069,7,3,4.0,2.160246899469287
2900001431651,8,0,2.6666666666666665,3.7712361663282534
2900001432658,30,19,21.666666666666668,6.018490028422596
2900001432672,16,7,8.666666666666666,5.436502143433363
2900001435116,3,0,1.0,1.4142135623730951
2900001436120,5,3,2.6666666666666665,2.0548046676563256
2900001436366,6,3,3.3333333333333335,2.0548046676563256
2900001436410,5,0,1.6666666666666667,2.357022603955158
2900001436700,9,8,5.666666666666667,4.0276819911981905
2900001437165,13,5,7.0,4.320493798938574
2900001437424,6,0,2.0,2.8284271247461903
2900001451932,14,12,11.0,2.943920288775949
2900001452366,22,0,7.333333333333333,10.370899457402697
2900001462648,12,11,7.666666666666667,5.436502143433364
2900001463379,10,5,6.0,2.943920288775949
2900001465380,16,1,5.666666666666667,7.318166133366716
2900001465816,16,4,7.0,6.48074069840786
2900001465960,18,8,8.666666666666666,7.363574011458175
2900001466509,4,2,2.3333333333333335,1.247219128924647
2900001467353,18,8,11.333333333333334,4.714045207910316
2900001470780,7,5,4.666666666666667,2.0548046676563256
2900001497336,13,0,4.333333333333333,6.128258770283412
2900001509459,26,11,12.333333333333334,10.656244908763854
2900001540117,6,1,2.6666666666666665,2.3570226039551585
2900001540971,15,0,5.0,7.0710678118654755
2900001550246,14,11,8.333333333333334,6.018490028422597
2900001568630,21,7,10.333333333333334,7.717224601860151
2900001575201,13,11,8.666666666666666,4.784233364802441
2900001578363,17,15,12.333333333333334,5.2493385826745405
2900001582933,4,0,1.3333333333333333,1.8856180831641267
2900001645768,33,7,13.333333333333334,14.1970262926979
2900001661508,10,9,9.333333333333334,0.4714045207910317
2900001663823,13,9,10.333333333333334,1.8856180831641267
2900001668996,12,9,8.0,3.7416573867739413
2900001671408,13,0,4.333333333333333,6.128258770283413
2900001684507,1,0,0.3333333333333333,0.4714045207910317
2900002532630,9,2,3.6666666666666665,3.8586123009300755
2900002542837,3,3,2.0,1.4142135623730951
2900002548457,10,7,7.333333333333333,2.0548046676563256
2900002701746,37,7,15.0,15.748015748023622
2900002927733,26,4,11.0,10.614455552060438
2900002930092,22,15,14.0,6.97614984548545
2900002932416,71,44,47.333333333333336,18.116904322268255
2900002932614,13,11,10.666666666666666,2.0548046676563256
2900002933024,47,29,34.0,9.273618495495704
2900002933918,17,2,6.333333333333333,7.586537784494029
2900002934304,13,12,11.0,2.160246899469287
2900002934342,22,22,20.333333333333332,2.3570226039551585
2900002934762,7,6,5.0,2.160246899469287
2900002934892,23,4,10.333333333333334,8.9566858950296
2900002934915,12,10,10.333333333333334,1.247219128924647
2900002936520,5,4,3.0,2.160246899469287
2900002936940,26,12,12.666666666666666,10.624918300339486
2900002937428,12,9,9.666666666666666,1.699673171197595
2900002937503,19,12,10.666666666666666,7.408703590297623
2900002969559,5,0,1.6666666666666667,2.357022603955158
2900003105154,22,10,12.666666666666666,6.79869268479038
2900003105161,4,4,3.6666666666666665,0.4714045207910317
2900003106281,7,7,4.666666666666667,3.299831645537222
2900003106502,12,3,5.0,5.0990195135927845
2900003107363,9,5,5.0,3.265986323710904
2900003108773,8,7,5.666666666666667,2.6246692913372702
2900003110479,21,12,11.0,8.602325267042627
2900003114002,21,8,9.666666666666666,8.65383665716478
2900003114170,6,1,2.3333333333333335,2.6246692913372702
2900003114613,36,0,12.0,16.97056274847714
2900003114880,10,8,7.0,2.943920288775949
2900003115009,3,3,2.6666666666666665,0.4714045207910317
2900003116341,3,3,2.6666666666666665,0.4714045207910317
2900003116822,11,4,5.0,4.546060565661952
2900003117386,11,6,5.666666666666667,4.4969125210773475
2900003120607,20,6,9.666666666666666,7.408703590297622
2900003122076,23,4,9.0,10.03327796219494
2900003123479,24,14,15.666666666666666,6.236095644623236
6222021615010082737,5,5,3.3333333333333335,2.3570226039551585
6227002180901670266,40,22,25.666666666666668,10.530379332620875
6227002180921663895,12,7,7.0,4.08248290463863
