i,i_agg_count_max,i_agg_count_median,i_agg_count_mean,i_agg_count_std,i_agg_amount_max,i_agg_amount_median,i_agg_amount_mean,i_agg_amount_std
10000000.0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.8,0.0,3.6,5.091168824543143
10000003.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.9,0.0,1.9666666666666668,2.781286672667087
10000004.0,3.0,1.0,1.6666666666666667,0.9428090415820634,17.4,5.8,9.666666666666666,5.468292441175967
10000005.0,2.0,1.0,1.3333333333333333,0.4714045207910317,4.0,2.0,2.6666666666666665,0.9428090415820634
10000006.0,4.0,3.0,3.3333333333333335,0.4714045207910317,10.8,8.100000000000001,9.000000000000002,1.2727922061357853
10000007.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.5,0.0,1.5,2.1213203435596424
10000009.0,3.0,2.0,1.6666666666666667,1.247219128924647,19.5,13.0,10.833333333333334,8.106924338010206
10000010.0,4.0,2.0,2.3333333333333335,1.247219128924647,24.8,12.4,14.466666666666669,7.732758599332812
10000011.0,4.0,4.0,3.6666666666666665,0.4714045207910317,10.8,10.8,9.9,1.2727922061357853
10000012.0,1.0,1.0,0.6666666666666666,0.4714045207910317,10.8,10.8,7.2,5.091168824543143
10000013.0,3.0,0.0,1.0,1.4142135623730951,6.6000000000000005,0.0,2.2,3.111269837220809
10000015.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10000016.0,2.0,0.0,0.6666666666666666,0.9428090415820634,7.6,0.0,2.533333333333333,3.582674358011841
10000025.0,8.0,4.0,4.0,3.265986323710904,22.6,12.0,11.533333333333333,9.232310412651621
10001002.0,1.0,1.0,0.6666666666666666,0.4714045207910317,4.5,4.5,3.0,2.1213203435596424
10001007.0,5.0,4.0,4.0,0.816496580927726,13.5,10.8,10.800000000000002,2.2045407685048595
10002000.0,2.0,0.0,0.6666666666666666,0.9428090415820634,9.0,0.0,3.0,4.242640687119285
10002002.0,1.0,0.0,0.3333333333333333,0.4714045207910317,6.2,0.0,2.066666666666667,2.9227080289043963
10002003.0,1.0,1.0,0.6666666666666666,0.4714045207910317,2.2,2.2,1.4666666666666668,1.0370899457402698
10002005.0,1.0,0.0,0.3333333333333333,0.4714045207910317,7.8,0.0,2.6,3.6769552621700465
10002006.0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.8,0.0,3.6,5.091168824543143
10002007.0,2.0,0.0,0.6666666666666666,0.9428090415820634,5.4,0.0,1.8,2.5455844122715714
10002012.0,3.0,0.0,1.0,1.4142135623730951,15.0,0.0,5.0,7.0710678118654755
10002015.0,1.0,1.0,0.6666666666666666,0.4714045207910317,4.0,4.0,2.6666666666666665,1.8856180831641267
10002017.0,1.0,1.0,0.6666666666666666,0.4714045207910317,5.8,5.8,3.8666666666666667,2.7341462205879834
10002019.0,3.0,2.0,1.6666666666666667,1.247219128924647,8.100000000000001,5.4,4.500000000000001,3.3674916480965478
10002022.0,1.0,1.0,1.0,0.0,2.7,2.7,2.7000000000000006,4.440892098500626e-16
10002025.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10002026.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.0,0.0,5.0,7.0710678118654755
10002027.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.0,0.0,5.0,7.0710678118654755
10002028.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.0,0.0,5.0,7.0710678118654755
10002029.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.0,0.0,1.0,1.4142135623730951
10002030.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.8,0.0,1.2666666666666666,1.7913371790059205
10002031.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.0,0.0,1.0,1.4142135623730951
10002033.0,2.0,0.0,0.6666666666666666,0.9428090415820634,4.4,0.0,1.4666666666666668,2.0741798914805396
10002034.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10002035.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10002038.0,2.0,0.0,0.6666666666666666,0.9428090415820634,3.2,0.0,1.0666666666666667,1.5084944665313016
10002039.0,2.0,0.0,0.6666666666666666,0.9428090415820634,5.6,0.0,1.8666666666666665,2.6398653164297774
10002040.0,2.0,0.0,0.6666666666666666,0.9428090415820634,7.6,0.0,2.533333333333333,3.5826743580118405
10002045.0,1.0,0.0,0.3333333333333333,0.4714045207910317,17.0,0.0,5.666666666666667,8.013876853447538
10002046.0,1.0,0.0,0.3333333333333333,0.4714045207910317,2.7,0.0,0.9,1.2727922061357857
10002049.0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.8,0.0,1.2666666666666666,1.7913371790059205
10002050.0,1.0,0.0,0.3333333333333333,0.4714045207910317,19.9,0.0,6.633333333333333,9.38094996374153
10002052.0,4.0,0.0,1.3333333333333333,1.8856180831641267,55.2,0.0,18.400000000000002,26.021529547664947
10008001.0,2.0,0.0,0.6666666666666666,0.9428090415820634,8.0,0.0,2.6666666666666665,3.7712361663282534
10008002.0,2.0,1.0,1.0,0.816496580927726,8.0,4.0,4.0,3.265986323710904
